REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR12373		California/7/2009_H1N1		NA				N		Unk	California/7/2009_H1N1		Hemagglutination Inhibition		2799
ESR12374		B/Brisbane/60/2008		NA				N		Unk	B/Brisbane/60/2008		Hemagglutination Inhibition		2799
ESR12375		Perth/19/2009 _H3N2		NA				N		Unk	Perth/19/2009 _H3N2		Hemagglutination Inhibition		2799
ESR12376		Victoria /361/2011_H3N2		NA				N		Unk	Victoria /361/2011_H3N2		Hemagglutination Inhibition		2799
ESR12377		B/Wisconsin /1/2010		NA				N		Unk	B/Wisconsin /1/2010		Hemagglutination Inhibition		2799
ESR12378		California/7/2009_H1N1		NA				N		Unk	California/7/2009_H1N1		Virus Neutralization		2799
ESR12379		Perth/19/2009 _H3N2		NA				N		Unk	Perth/19/2009 _H3N2		Virus Neutralization		2799
ESR12380				BD-103-0204				N		Illumina	GX-BeadChip HT12v4		Array		2799
ESR12427	ANA813	IgD	AB_396113	555778	Anti-IgD		IgD FITC	N		BD Biosciences	JDM-2012-FR-R1	FITC	Flow Cytometry		2799
ESR12428	ANA807	CD24	AB_395822	555428	Anti-CD24		CD24 PE	N		BD Biosciences	JDM-2012-FR-R2	PE	Flow Cytometry		2799
ESR12429	ANA805	CD19	AB_130854	IM2708U	Anti-CD19		CD19 ECD	N		Beckman Coulter	JDM-2012-FR-R3	ECD	Flow Cytometry		2799
ESR12430	ANA806	CD20	AB_395990	555624	Anti-CD20		CD20 PC5	N		BD Biosciences	JDM-2012-FR-R4	PE-Cy5	Flow Cytometry		2799
ESR12431	ANA808	CD38	AB_399969	335790	Anti-CD38		CD38 PC7	N		BD Biosciences	JDM-2012-FR-R5	PE-Cy7	Flow Cytometry		2799
ESR12432	ANA891	CD138	AB_400571	347207	Anti-CD138		CD138 APC	N		BD Biosciences	JDM-2012-FR-R6	APC	Flow Cytometry		2799
ESR12433	ANA804	CD14	AB_396944	557923	Anti-CD14		CD14 A700	N		BD Biosciences	JDM-2012-FR-R7	Alexa Fluor 700	Flow Cytometry		2799
ESR12434	ANA40	CD27	AB_571977	302816	Anti-CD27		CD27 APC-Cy7	N		BioLegend	JDM-2012-FR-R8	APC-Cy7	Flow Cytometry		2799
ESR12435	ANA868	CD86	AB_1645585	560357	Anti-CD86		CD86 PB	N		BD Biosciences	JDM-2012-FR-R9	V450 (PB)	Flow Cytometry		2799
ESR12436		CD45	AB_10376143; AB_1475776	MHCD4530	Anti-CD45		CD45 PO	N		Invitrogen	JDM-2012-FR-R10	Pacific Orange	Flow Cytometry		2799
ESR12437		Lin-1	AB_400053	340546	Anti-Lin-1		Lin-1 FITC	N		BD Biosciences	JDM-2012-FR-R11	FITC	Flow Cytometry		2799
ESR12438		BDCA-2 (CD303)	AB_244168	130-090-511	Anti-BDCA-2 (CD303)		BDCA2 PE	N		Miltenyi Biotec	JDM-2012-FR-R12	PE	Flow Cytometry		2799
ESR12439	ANA860	CD2	AB_10374323; AB_1500438	CD0217	Anti-CD2		CD2 ECD	N		Invitrogen	JDM-2012-FR-R13	PE-TR (ECD)	Flow Cytometry		2799
ESR12440	ANA42	CD40	AB_395965	555590	Anti-CD40		CD40 PC5	N		BD Biosciences	JDM-2012-FR-R14	PE-Cy5	Flow Cytometry		2799
ESR12441	ANA895	CD1c	AB_1953227	331515	Anti-CD1c		CD1c PC7	N		BioLegend	JDM-2012-FR-R15	PE-Cy7	Flow Cytometry		2799
ESR12442		BDCA-3 (CD141)	AB_244170	130-090-907	Anti-BDCA-3 (CD141)		BDCA3 APC	N		Miltenyi Biotec	JDM-2012-FR-R16	APC	Flow Cytometry		2799
