FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
160880	8		ECD-A	CD2	CD2
160880	15		Pacific Orange-A		CD45
160881	12		Alexa Fluor 700-A	HLA-DRA	HLA-DR
160881	22		PE-Cy5-5-A		PE-Cy5-5-A
160881	14		Pacific Blue-A	CD86	CD86
160881	9		PE-Cy5-A	CD40	CD40
160881	19		Qdot 705-A		Qdot 705-A
160881	5		FITC-A		LIN-1
160882	14		Pacific Blue-A	CD86	CD86
160882	10		PE-Cy7-A	ITGAM	CD11b
160882	21		Qdot 800-A		Qdot 800-A
160882	9		PE-Cy5-A	CD40	CD40
160883	14		Pacific Blue-A	CD86	CD86
160883	19		Qdot 705-A		Qdot 705-A
160883	16		Qdot 605-A		Qdot 605-A
160884	22		PE-Cy5-5-A		PE-Cy5-5-A
160884	18		Qdot 655-A		Qdot 655-A
160884	14		Pacific Blue-A	HLA-DRA	HLA-DR
160884	11		APC-A	CD8A	CD8
160885	1		FSC-A		FSC-A
160885	14		Pacific Blue-A	HLA-DRA	HLA-DR
160885	11		APC-A	CD8A	CD8
160885	23		Time		Time
160885	7		PE-A	CCR6	CCR6
160885	16		Qdot 605-A		Qdot 605-A
160886	15		Pacific Orange-A		CD45
160886	10		PE-Cy7-A	CD38	CD38
160886	23		Time		Time
160888	2		FSC-H		FSC-H
160888	14		Pacific Blue-A	CD86	CD86
160888	4		SSC-H		SSC-H
160888	23		Time		Time
160889	1		FSC-A		FSC-A
160889	3		SSC-A		SSC-A
160890	4		SSC-H		SSC-H
160891	1		FSC-A		FSC-A
160892	19		Qdot 705-A		Qdot 705-A
160892	17		AmCyan-A		AmCyan-A
160892	2		FSC-H		FSC-H
160892	20		Qdot 585-A		Qdot 585-A
160893	22		PE-Cy5-5-A		PE-Cy5-5-A
160893	18		Qdot 655-A		Qdot 655-A
160893	11		APC-A	SDC1	CD138
160893	9		PE-Cy5-A	CD20	CD20
160894	11		APC-A	SDC1	CD138
160894	3		SSC-A		SSC-A
160895	11		APC-A	THBD	BDCA-3
160896	3		SSC-A		SSC-A
160897	4		SSC-H		SSC-H
160897	9		PE-Cy5-A	CXCR3	CXCR3
160898	9		PE-Cy5-A	CD20	CD20
160898	5		FITC-A	IGHD	IgD
160898	3		SSC-A		SSC-A
160898	16		Qdot 605-A		Qdot 605-A
160899	17		AmCyan-A		AmCyan-A
160899	10		PE-Cy7-A	CD38	CD38
160900	13		APC-H7-A	ITAX	CD11c
160900	18		Qdot 655-A		Qdot 655-A
160900	20		Qdot 585-A		Qdot 585-A
160900	1		FSC-A		FSC-A
160900	6		PerCP-Cy5-5-A		PerCP-Cy5-5-A
160901	22		PE-Cy5-5-A		PE-Cy5-5-A
160901	15		Pacific Orange-A		CD45
160901	9		PE-Cy5-A	CD40	CD40
160901	19		Qdot 705-A		Qdot 705-A
160901	7		PE-A	CD14	CD14
160902	1		FSC-A		FSC-A
160903	18		Qdot 655-A		Qdot 655-A
160903	1		FSC-A		FSC-A
160903	10		PE-Cy7-A	CD38	CD38
160903	23		Time		Time
