FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
160287	6		SSC-H		SSC-H
160288	1		Time		Time
160815	12		PE-Cy7-A	CD1C	CD1c
159126	4		FSC-W		FSC-W
159132	6		SSC-H		SSC-H
160201	11		PE-Cy5-A	CD40	CD40
159302	13		Pacific Blue-A	CD4	CD4
160232	13		Pacific Blue-A	CD86	CD86
160233	5		SSC-A		SSC-A
159140	2		FSC-A		FSC-A
159146	13		Pacific Blue-A	CD4	CD4
159149	1		Time		Time
160311	6		SSC-H		SSC-H
160314	9		PE-A	CLEC4C	BDCA-2
160239	1		Time		Time
160244	8		FITC-A		LIN-1
159074	2		FSC-A		FSC-A
160317	15		APC-A		SLAM
160321	12		PE-Cy7-A	CD1C	CD1c
160801	15		APC-A	THBD	BDCA3
160906	8		FITC-A	CXCR5	CXCR5
159008	17		APC-Cy7-A		APC-Cy7-A
160324	5		SSC-A		SSC-A
159078	15		APC-A		SLAN
159082	14		QDOT 565-A		CD45
159083	13		Pacific Blue-A	CD4	CD4
160776	17		APC-Cy7-A	FCG3A	CD16
160788	14		QDot 565-A		CD45
160830	7		SSC-W		SSC-W
159204	7		SSC-W		SSC-W
160875	5		SSC-A		SSC-A
159093	9		PE-A	CD24	CD24
159094	7		SSC-W		SSC-W
159095	16		Alexa 700-A		CD3/CD14
159278	10		PE-Texas Red-A	CD19	CD19
159281	12		PE-Cy7-A	CCR7	CCR7
159288	13		Pacific Blue-A	CD4	CD4
158980	8		FITC-A	CX3CR1	CX3CR1
158994	2		FSC-A		FSC-A
158996	8		FITC-A		LIN-1
159225	9		PE-A	CD24	CD24
160256	14		QDOT 565-A		CD45
160262	9		PE-A	CCR6	CCR6
160265	2		FSC-A		FSC-A
160845	2		FSC-A		FSC-A
160853	4		FSC-W		FSC-W
160855	3		FSC-H		FSC-H
159054	14		QDOT 565-A		CD45
159059	15		APC-A		SLAM
108266	9		PE-A	CD24	CD24
76850	11		PE-Cy5-A	CD20	CD20
130676	9		PE-A	CD24	CD24
115776	4		FSC-W		FSC-W
159092	12		PE-Cy7-A	CD1C	CD1c
159280	13		Pacific Blue-A	CD86	CD86
159281	2		FSC-A		FSC-A
159282	14		QDOT 565-A		CD45
159288	12		PE-Cy7-A	CCR7	CCR7
160198	3		FSC-H		FSC-H
160199	5		SSC-A		SSC-A
160201	10		PE-Texas Red-A	CD2	CD2
160202	8		FITC-A	CX3CR1	CX3CR1
159057	7		SSC-W		SSC-W
159059	6		SSC-H		SSC-H
159070	16		Alexa 700-A	HLA-DRA	HLADR
159127	8		FITC-A	IGHD	IgD
159133	14		QDOT 565-A		CD45
105125	17		APC-Cy7-A	CD27	CD27
159229	13		Pacific Blue-A	CD86	CD86
159242	14		QDOT 565-A		CD45
160288	6		SSC-H		SSC-H
160288	11		PE-Cy5-A	CD40	CD40
160303	9		PE-A	CD14	CD14
160306	11		PE-Cy5-A	ITAX	CD11c
160307	9		PE-A	CLEC4C	BDCA-2
119119	3		FSC-H		FSC-H
160221	7		SSC-W		SSC-W
160223	10		PE-Texas Red-A	CD2	CD2
160231	15		APC-A		SLAM
160237	2		FSC-A		FSC-A
160239	6		SSC-H		SSC-H
160239	11		PE-Cy5-A	ITAX	CD11c
160255	13		Pacific Blue-A	CD4	CD4
160259	3		FSC-H		FSC-H
160265	1		Time		Time
160265	14		QDOT 565-A		CD45
160272	16		Alexa 700-A	CD3E	CD3
160279	2		FSC-A		FSC-A
160842	3		FSC-H		FSC-H
160843	7		SSC-W		SSC-W
159140	15		APC-A		SLAN
159141	3		FSC-H		FSC-H
160311	10		PE-Texas Red-A	PTPRC	CD45RA
160317	6		SSC-H		SSC-H
160317	11		PE-Cy5-A	CD40	CD40
160320	7		SSC-W		SSC-W
159002	7		SSC-W		SSC-W
160324	3		FSC-H		FSC-H
160326	17		APC-Cy7-A	CD8A	CD8
160777	12		PE-Cy7-A	CCR7	CCR7
160787	1		Time		Time
160790	15		APC-A		SLAN
160791	14		QDot 565-A		CD45
160796	3		FSC-H		FSC-H
160799	12		PE-Cy7-A	CCR7	CCR7
158982	7		SSC-W		SSC-W
160877	17		APC-Cy7-A		APC-Cy7-A
160878	10		PE-Texas Red-A	CD2	CD2
160828	8		FITC-A	CXCR5	CXCR5
160834	2		FSC-A		FSC-A
80073	15		APC-A	SDC1	CD138
126370	9		PE-A	CD24	CD24
80073	6		SSC-H		SSC-H
102867	10		PE-Texas Red-A	CD19	CD19
100673	1		Time		Time
120641	1		Time		Time
79556	14		QDOT 565-A		CD45
96884	13		Pacific Blue-A	CD86	CD86
100917	13		Pacific Blue-A	CD86	CD86
114730	3		FSC-H		FSC-H
159208	17		APC-Cy7-A	FCG3A	CD16
159222	3		FSC-H		FSC-H
160781	15		APC-A	SDC1	CD138
160796	13		Pacific Blue-A	CD4	CD4
159074	11		PE-Cy5-A	CD20	CD20
159076	5		SSC-A		SSC-A
159079	2		FSC-A		FSC-A
159082	10		PE-Texas Red-A	PTPRC	CD45RA
159083	2		FSC-A		FSC-A
159084	17		APC-Cy7-A	CD8A	CD8
159089	13		Pacific Blue-A	CD86	CD86
159090	5		SSC-A		SSC-A
160808	5		SSC-A		SSC-A
160823	10		PE-Texas Red-A	CD2	CD2
160835	6		SSC-H		SSC-H
159227	16		Alexa 700-A	HLA-DRA	HLADR
159230	6		SSC-H		SSC-H
159233	7		SSC-W		SSC-W
159234	2		FSC-A		FSC-A
159239	11		PE-Cy5-A	CD20	CD20
159245	9		PE-A	CCR6	CCR6
159249	12		PE-Cy7-A	CCR7	CCR7
160289	2		FSC-A		FSC-A
159135	10		PE-Texas Red-A	CD19	CD19
159136	7		SSC-W		SSC-W
159100	1		Time		Time
159104	7		SSC-W		SSC-W
159282	6		SSC-H		SSC-H
159290	5		SSC-A		SSC-A
159297	16		Alexa 700-A	HLA-DRA	HLADR
160200	7		SSC-W		SSC-W
160204	3		FSC-H		FSC-H
160225	14		QDOT 565-A		CD45
160812	7		SSC-W		SSC-W
160233	13		Pacific Blue-A	CD4	CD4
160237	1		Time		Time
160240	8		FITC-A		LIN-1
160256	10		PE-Texas Red-A	CD2	CD2
160265	11		PE-Cy5-A	CXCR3	CXCR3
160837	8		FITC-A	IGHD	IgD
160851	1		Time		Time
160852	6		SSC-H		SSC-H
160855	17		APC-Cy7-A		APC-Cy7-A
158983	5		SSC-A		SSC-A
158990	13		Pacific Blue-A	CD4	CD4
160877	2		FSC-A		FSC-A
159053	12		PE-Cy7-A	CD38	CD38
159063	13		Pacific Blue-A	CD4	CD4
159069	17		APC-Cy7-A		APC-Cy7-A
159142	15		APC-A		SLAN
159118	5		SSC-A		SSC-A
159127	7		SSC-W		SSC-W
159299	14		QDOT 565-A		CD45
159301	7		SSC-W		SSC-W
136756	16		Alexa 700-A		CD3/CD14
159231	16		Alexa 700-A	CD3E	CD3
159232	12		PE-Cy7-A	CD38	CD38
159234	14		QDOT 565-A		CD45
159246	5		SSC-A		SSC-A
159137	4		FSC-W		FSC-W
159141	17		APC-Cy7-A	FCG3A	CD16
159146	14		QDOT 565-A		CD45
159148	11		PE-Cy5-A	CXCR3	CXCR3
159083	1		Time		Time
159083	15		APC-A	ICOS	ICOS
159094	5		SSC-A		SSC-A
159102	14		QDOT 565-A		CD45
159102	15		APC-A	ICOS	ICOS
159105	2		FSC-A		FSC-A
159106	7		SSC-W		SSC-W
159288	1		Time		Time
159288	15		APC-A	ICOS	ICOS
159296	6		SSC-H		SSC-H
160255	2		FSC-A		FSC-A
160257	8		FITC-A	CX3CR1	CX3CR1
159000	16		Alexa 700-A	HLA-DRA	HLADR
159001	5		SSC-A		SSC-A
159008	11		PE-Cy5-A	ITAX	CD11c
160326	1		Time		Time
160327	12		PE-Cy7-A	CD1C	CD1c
160327	17		APC-Cy7-A		APC-Cy7-A
