BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS717715	ES784743
BS717718	ES786485
BS717720	ES785164
BS717722	ES786491
BS717724	ES785166
BS717599	ES782141
BS717600	ES782120
BS717602	ES782144
BS717603	ES782101
BS717605	ES782147
BS717608	ES782150
BS717609	ES782173
BS717612	ES782198
BS717613	ES782177
BS717614	ES782156
BS717616	ES782202
BS717620	ES782162
BS717621	ES782185
BS717731	ES784759
BS717732	ES785177
BS717733	ES785726
BS717733	ES785728
BS717735	ES786166
BS717668	ES782254
BS717738	ES785431
BS717739	ES786169
BS717741	ES785694
BS717742	ES785436
BS717745	ES785697
BS717748	ES785332
BS717748	ES785334
BS717751	ES786179
BS717626	ES782190
BS717635	ES782221
BS717638	ES782224
BS717639	ES782225
BS717541	ES781951
BS717544	ES781976
BS717550	ES781982
BS717551	ES782005
BS717553	ES781963
BS717554	ES782008
BS717644	ES782230
BS717754	ES785405
BS717754	ES785406
BS717758	ES785410
BS717759	ES786290
BS717760	ES785203
BS717760	ES785205
BS717761	ES785218
BS717763	ES786292
BS717763	ES786293
BS717766	ES785418
BS717767	ES786296
BS717767	ES786297
BS717773	ES785230
BS717559	ES781991
BS717561	ES782059
BS717566	ES782020
BS717568	ES782044
BS717656	ES782242
BS717569	ES782023
BS717571	ES782069
BS717574	ES782028
BS717574	ES782050
BS717694	ES782280
BS717658	ES782244
BS717774	ES785425
BS717777	ES785237
BS717778	ES785359
BS717780	ES784767
BS717583	ES782125
BS717584	ES782104
BS717584	ES782126
BS717586	ES782084
BS717588	ES782086
BS717592	ES782090
BS717593	ES782091
BS717706	ES782292
BS717708	ES782294
BS717783	ES785344
BS717787	ES785347
BS717789	ES785188
BS717792	ES784775
BS717793	ES785192
BS717795	ES785357
BS717796	ES784778
BS717798	ES786502
BS717799	ES784763
BS717800	ES785157
BS717709	ES782295
BS717714	ES786481
BS717714	ES786482
BS717715	ES784745
BS717716	ES785159
BS717721	ES785714
BS717721	ES785716
BS717722	ES786490
BS717599	ES782097
BS717601	ES782121
BS717601	ES782143
BS717604	ES782146
BS717607	ES782171
BS717610	ES782174
BS717613	ES782199
BS717616	ES782158
BS717617	ES782181
BS717621	ES782207
BS717621	ES782163
BS717622	ES782186
BS717623	ES782165
BS717625	ES782167
BS717725	ES785718
BS717729	ES785722
BS717729	ES785724
BS717734	ES785430
BS717736	ES785319
BS717737	ES785691
BS717671	ES782257
BS717740	ES785324
BS717629	ES782215
BS717633	ES782219
BS717636	ES782222
BS717547	ES781957
BS717547	ES781979
BS717548	ES781958
BS717552	ES782006
BS717552	ES781962
BS717553	ES782007
BS717753	ES785706
BS717754	ES785403
BS717757	ES785215
BS717765	ES785223
BS717768	ES784380
BS717769	ES785228
BS717771	ES786302
BS717772	ES785207
BS717773	ES785232
BS717561	ES782037
BS717564	ES782062
BS717572	ES782070
BS717576	ES782052
BS717778	ES785361
BS717779	ES785342
BS717781	ES785178
BS717781	ES785179
BS717593	ES782113
BS717594	ES782114
BS717595	ES782093
BS717595	ES782115
BS717596	ES782138
BS717597	ES782139
BS717784	ES784385
BS717786	ES785369
BS717788	ES784771
BS717789	ES785186
BS717790	ES785372
BS717791	ES785352
BS717792	ES784774
BS717792	ES784776
BS717792	ES784777
BS717794	ES785376
BS717795	ES785356
BS717797	ES785194
BS717539	ES781971
BS717713	ES782299
BS717714	ES786484
BS717718	ES786487
BS717719	ES784749
BS717602	ES782100
BS717667	ES782253
BS717607	ES782149
BS717609	ES782151
BS717610	ES782196
BS717611	ES782197
BS717613	ES782155
BS717623	ES782209
BS717623	ES782187
BS717625	ES782211
BS717725	ES785719
BS717726	ES786493
BS717727	ES784755
BS717727	ES784756
BS717728	ES785171
BS717730	ES786500
BS717680	ES782266
BS717691	ES782277
BS717739	ES786170
BS717742	ES785437
BS717744	ES785329
BS717744	ES785330
BS717746	ES785441
BS717747	ES786178
BS717749	ES785703
BS717752	ES785337
BS717637	ES782223
BS717543	ES781997
BS717545	ES781977
BS717551	ES781961
BS717553	ES781985
BS717554	ES781986
BS717647	ES782233
BS717649	ES782235
BS717756	ES785198
BS717756	ES785201
BS717762	ES785411
BS717764	ES784374
BS717767	ES786298
BS717769	ES785227
BS717556	ES781988
BS717557	ES781989
BS717558	ES782012
BS717558	ES781968
BS717558	ES781990
BS717560	ES781992
BS717562	ES782038
BS717563	ES782017
BS717570	ES782024
BS717571	ES782025
BS717574	ES782072
BS717575	ES782073
BS717659	ES782245
BS717774	ES785426
BS717775	ES786305
BS717777	ES785234
BS717779	ES785339
BS717779	ES785341
BS717579	ES782033
BS717585	ES782083
BS717586	ES782106
BS717586	ES782128
BS717587	ES782085
BS717592	ES782134
BS717595	ES782137
BS717702	ES782288
BS717782	ES785364
BS717782	ES785366
BS717783	ES785343
BS717783	ES785345
BS717787	ES785349
BS717788	ES784770
BS717788	ES784773
BS717793	ES785191
BS717794	ES785377
BS717797	ES785195
BS717798	ES786501
BS717801	ES785730
BS717540	ES781950
BS717716	ES785161
BS717717	ES785711
BS717717	ES785712
BS717718	ES786486
BS717719	ES784747
BS717720	ES785162
BS717600	ES782098
BS717602	ES782122
BS717604	ES782124
BS717610	ES782152
BS717616	ES782180
BS717618	ES782182
BS717619	ES782205
BS717624	ES782166
BS717725	ES785720
BS717726	ES786495
BS717726	ES786496
BS717730	ES786499
