EXPSAMPLE_ACCESSION	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	WORKSPACE_ID
ES782049		EXP13690		HAI	Parsed	2799
ES782058		EXP13690		HAI	Parsed	2799
ES782064		EXP13690		HAI	Parsed	2799
ES782004		EXP13690		HAI	Parsed	2799
ES782015		EXP13690		HAI	Parsed	2799
ES782019		EXP13690		HAI	Parsed	2799
ES781957		EXP13690		HAI	Parsed	2799
ES781976		EXP13690		HAI	Parsed	2799
ES781980		EXP13690		HAI	Parsed	2799
ES781988		EXP13690		HAI	Parsed	2799
ES782174		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782184		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782187		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782189		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782190		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782200		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782205		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782156		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782164		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782165		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782171		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782103		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782104		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782120		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782126		EXP13691		VIRUS NEUTRALIZATION	Parsed	2799
ES782224		EXP13692		OTHER	Not_Parsed	2799
ES782225		EXP13692		OTHER	Not_Parsed	2799
ES782227		EXP13692		OTHER	Not_Parsed	2799
ES782238		EXP13692		OTHER	Not_Parsed	2799
ES782240		EXP13692		OTHER	Not_Parsed	2799
ES782244		EXP13692		OTHER	Not_Parsed	2799
ES782254		EXP13692		OTHER	Not_Parsed	2799
ES782261		EXP13692		OTHER	Not_Parsed	2799
ES782271		EXP13692		OTHER	Not_Parsed	2799
ES782281		EXP13692		OTHER	Not_Parsed	2799
ES782293		EXP13692		OTHER	Not_Parsed	2799
ES786178		EXP13693		OTHER	Not_Parsed	2799
ES786180		EXP13693		OTHER	Not_Parsed	2799
ES786182		EXP13693		OTHER	Not_Parsed	2799
ES786288		EXP13693		OTHER	Not_Parsed	2799
ES786299		EXP13693		OTHER	Not_Parsed	2799
ES786300		EXP13693		OTHER	Not_Parsed	2799
ES786167		EXP13693		OTHER	Not_Parsed	2799
ES786168		EXP13693		OTHER	Not_Parsed	2799
ES786170		EXP13693		OTHER	Not_Parsed	2799
ES786177		EXP13693		OTHER	Not_Parsed	2799
ES785369		EXP13693		OTHER	Not_Parsed	2799
ES785204		EXP13693		OTHER	Not_Parsed	2799
ES784380		EXP13693		OTHER	Not_Parsed	2799
ES784383		EXP13693		OTHER	Not_Parsed	2799
ES785212		EXP13693		OTHER	Not_Parsed	2799
ES785188		EXP13693		OTHER	Not_Parsed	2799
ES785189		EXP13693		OTHER	Not_Parsed	2799
ES785191		EXP13693		OTHER	Not_Parsed	2799
ES785430		EXP13693		OTHER	Not_Parsed	2799
ES785434		EXP13693		OTHER	Not_Parsed	2799
ES785691		EXP13693		OTHER	Not_Parsed	2799
ES785708		EXP13693		OTHER	Not_Parsed	2799
ES784768		EXP13693		OTHER	Not_Parsed	2799
ES784769		EXP13693		OTHER	Not_Parsed	2799
ES785340		EXP13693		OTHER	Not_Parsed	2799
ES785358		EXP13693		OTHER	Not_Parsed	2799
ES784749		EXP13693		OTHER	Not_Parsed	2799
ES784752		EXP13693		OTHER	Not_Parsed	2799
ES784759		EXP13693		OTHER	Not_Parsed	2799
ES784760		EXP13693		OTHER	Not_Parsed	2799
ES784764		EXP13693		OTHER	Not_Parsed	2799
ES786481		EXP13693		OTHER	Not_Parsed	2799
ES786482		EXP13693		OTHER	Not_Parsed	2799
ES786497		EXP13693		OTHER	Not_Parsed	2799
ES785216		EXP13693		OTHER	Not_Parsed	2799
ES785218		EXP13693		OTHER	Not_Parsed	2799
ES785225		EXP13693		OTHER	Not_Parsed	2799
ES785232		EXP13693		OTHER	Not_Parsed	2799
ES785407		EXP13693		OTHER	Not_Parsed	2799
ES785424		EXP13693		OTHER	Not_Parsed	2799
ES785159		EXP13693		OTHER	Not_Parsed	2799
ES785173		EXP13693		OTHER	Not_Parsed	2799
ES785174		EXP13693		OTHER	Not_Parsed	2799
ES782043		EXP13690		HAI	Parsed	2799
ES782046		EXP13690		HAI	Parsed	2799
ES782067		EXP13690		HAI	Parsed	2799
ES782080		EXP13690		HAI	Parsed	2799
ES781997		EXP13690		HAI	Parsed	2799
ES782008		EXP13690		HAI	Parsed	2799
ES782020		EXP13690		HAI	Parsed	2799
ES781954		EXP13690		HAI	Parsed	2799
ES781955		EXP13690		HAI	Parsed	2799
