REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR11486				BD-103-0204				N		Illumina	GX-BeadChip HT12v4				2799
ESR11497				N/A				Y		N/A	SDY144_BCELL_TUBE1		Flow Cytometry		2799
ESR12326	ANA813	IgD	AB_396113	555778	Anti-IgD			N		BD Biosciences	NCH-2011-FR-R1	FITC	Flow Cytometry		2799
ESR12327	ANA807	CD24	AB_395822	555428	Anti-CD24			N		BD Biosciences	NCH-2011-FR-R2	PE	Flow Cytometry		2799
ESR12328	ANA805	CD19	AB_130854	IM2708U	Anti-CD19			N		Beckman Coulter	NCH-2011-FR-R3	ECD	Flow Cytometry		2799
ESR12329	ANA806	CD20	AB_395990	555624	Anti-CD20			N		BD Biosciences	NCH-2011-FR-R4	PC5	Flow Cytometry		2799
ESR12330	ANA808	CD38	AB_399969	335790	Anti-CD38			N		BD Biosciences	NCH-2011-FR-R5	PC7	Flow Cytometry		2799
ESR12331	ANA891	CD138	AB_400571	347207	Anti-CD138			N		BD Biosciences	NCH-2011-FR-R6	APC	Flow Cytometry		2799
ESR12332	ANA804	CD14	AB_396944	557923	Anti-CD14			N		BD Biosciences	NCH-2011-FR-R7	A700	Flow Cytometry		2799
ESR12333	ANA40	CD27	AB_571977	302816	Anti-CD27			N		BioLegend	NCH-2011-FR-R8	APC-Cy7	Flow Cytometry		2799
ESR12334	ANA868	CD86	AB_1645585	560357	Anti-CD86			N		BD Biosciences	NCH-2011-FR-R9	V450 (PB)	Flow Cytometry		2799
ESR12335		Lin-1	AB_400053	340546	Anti-Lin-1			N		BD Biosciences	NCH-2011-FR-R10	FITC	Flow Cytometry		2799
ESR12336		BDCA-2 (CD303)	AB_244168	130-090-511	Anti-BDCA-2 (CD303)			N		Miltenyi	NCH-2011-FR-R11	PE	Flow Cytometry		2799
ESR12337	ANA860	CD2	AB_10374323; AB_1500438	CD0217	Anti-CD2			N		Invitrogen	NCH-2011-FR-R12	PE-TR (ECD)	Flow Cytometry		2799
ESR12338	ANA814	CD11c	AB_394034	551077	Anti-CD11c			N		BD Biosciences	NCH-2011-FR-R13	PC5	Flow Cytometry		2799
ESR12339	ANA895	CD1c	AB_1953227	331515	Anti-CD1c			N		BioLegend	NCH-2011-FR-R14	PC7	Flow Cytometry		2799
