CONTROL_SAMPLE_ACCESSION	ASSAY_GROUP_ID	ASSAY_ID	CATALOG_ID	DILUTION_FACTOR	EXPERIMENT_ACCESSION	LOT_NUMBER	RESULT_SCHEMA	SOURCE	UPLOAD_RESULT_STATUS	WORKSPACE_ID
CS961		196	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS963		197	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS971		195	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS978		199	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS973		197	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS974		197	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS964		197	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS965		198	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS972		195	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS977		199	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS960		195	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS966		198	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS968		199	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS959		195	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS962		196	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS967		199	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS969		194	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS970		194	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS976		198	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS957		194	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS958		194	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
CS975		198	Fisher-ICN2931949	1	EXP13808		MBAA	control serum	Parsed	2883
