BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS753060	ES845231
BS753062	ES845233
BS753068	ES845239
BS753082	ES845266
BS753093	ES845277
BS753095	ES845279
BS753112	ES845336
BS753113	ES845337
BS753118	ES845342
BS753126	ES845350
BS753130	ES845354
BS753141	ES845393
BS753146	ES845398
BS753148	ES845414
BS753152	ES845422
BS753153	ES845425
BS753161	ES845440
BS753163	ES845445
BS753167	ES845453
BS753178	ES845528
BS753182	ES845532
BS753184	ES845534
BS753187	ES845537
BS753193	ES845543
BS753201	ES845551
BS753208	ES845558
BS753219	ES845569
BS753223	ES845601
BS753234	ES845612
BS753235	ES845613
BS753238	ES845616
BS753269	ES845675
BS753276	ES845682
BS753288	ES845724
BS753296	ES845732
BS753300	ES845736
BS753315	ES845779
BS753316	ES845780
BS707936	ES767338
BS707938	ES767340
BS707940	ES767342
BS707948	ES767350
BS707965	ES767367
BS707970	ES767372
BS707976	ES767378
BS707981	ES767383
BS708005	ES767407
BS708007	ES767409
BS708018	ES767420
BS708025	ES767427
BS708036	ES767438
BS708048	ES767450
BS708055	ES767457
BS708056	ES767458
BS708063	ES767465
BS708071	ES767473
BS708075	ES767477
BS708088	ES767490
BS708101	ES767503
BS708104	ES767506
BS708105	ES767507
BS708108	ES767510
BS708112	ES767514
BS708114	ES767516
BS708118	ES767520
BS708127	ES767529
BS708134	ES767536
BS708144	ES767546
BS708151	ES767553
BS708154	ES767556
BS708164	ES767566
BS708166	ES767568
BS708169	ES767571
BS708193	ES767595
BS708196	ES767598
BS753520	ES846170
BS753531	ES846213
BS753535	ES846217
BS753537	ES846219
BS753543	ES846225
BS753549	ES846231
BS753556	ES846270
BS753566	ES846280
BS753567	ES846281
BS753571	ES846285
BS753590	ES846328
BS753593	ES846331
BS753598	ES846336
BS753608	ES847555
BS753632	ES847606
BS753634	ES847608
BS753644	ES847618
BS753652	ES844607
BS753676	ES844631
BS753689	ES844644
BS753692	ES844647
BS707668	ES767070
BS707671	ES767073
BS707677	ES767079
BS707682	ES767084
BS707686	ES767088
BS707700	ES767102
BS707707	ES767109
BS707714	ES767116
BS707725	ES767127
BS707727	ES767129
BS707744	ES767146
BS707746	ES767148
BS707750	ES767152
BS707755	ES767157
BS707757	ES767159
BS707761	ES767163
BS707762	ES767164
BS707784	ES767186
BS707789	ES767191
BS707792	ES767194
BS707793	ES767195
BS707798	ES767200
BS707805	ES767207
BS707827	ES767229
BS707837	ES767239
BS707842	ES767244
BS707862	ES767264
BS707865	ES767267
BS707882	ES767284
BS707894	ES767296
BS707896	ES767298
BS707906	ES767308
BS708218	ES767620
BS708219	ES767621
BS708220	ES767622
BS708221	ES767623
BS708244	ES767646
BS708257	ES767659
BS708259	ES767661
BS708265	ES767667
BS708266	ES767668
BS708274	ES767676
BS708277	ES767679
BS708278	ES767680
BS708289	ES767691
BS708290	ES767692
BS708293	ES767695
BS708301	ES767703
BS708312	ES767714
BS708314	ES767716
BS708316	ES767718
BS708319	ES767721
BS708332	ES767734
BS708358	ES767760
BS708386	ES767788
BS708392	ES767794
BS708395	ES767797
BS708402	ES767804
BS708411	ES767813
BS708412	ES767814
BS708413	ES767815
BS708423	ES767825
BS708448	ES767850
BS708458	ES767860
BS708461	ES767863
BS708468	ES767870
BS708470	ES767872
BS708477	ES767879
BS708494	ES767896
BS708500	ES767902
BS708516	ES767918
BS708519	ES767921
BS708545	ES767947
BS753321	ES845785
BS753333	ES845797
BS753337	ES845829
BS753338	ES845830
BS753354	ES845846
BS753359	ES845851
BS753365	ES845885
BS753367	ES845887
BS753372	ES845892
BS753377	ES845911
BS753399	ES845933
BS753405	ES845967
BS753433	ES846023
BS753440	ES846030
BS753444	ES846034
BS753457	ES846061
BS753463	ES846081
BS753464	ES846082
BS753466	ES846084
BS753475	ES846093
BS753480	ES846098
BS753485	ES846103
BS753496	ES846146
BS708559	ES767961
BS708561	ES767963
BS708568	ES767970
BS708580	ES767982
BS708586	ES767988
BS708587	ES767989
BS708591	ES767993
BS708593	ES767995
BS708596	ES767998
BS708600	ES768002
BS708604	ES768006
BS708606	ES768008
BS708611	ES768013
BS708635	ES768037
BS708636	ES768038
BS708656	ES768058
BS708661	ES768063
BS708662	ES768064
BS708665	ES768067
BS708670	ES768072
BS708673	ES768075
BS708674	ES768076
BS708678	ES768080
BS708698	ES768100
BS708699	ES768101
BS708700	ES768102
BS708707	ES768109
BS691041	ES737668
BS691047	ES737674
BS691079	ES737706
BS691083	ES737710
BS691086	ES737713
BS691097	ES737724
BS691105	ES737732
BS691108	ES737735
BS691121	ES737748
BS691129	ES737756
BS691143	ES737770
BS691144	ES737771
BS691145	ES737772
BS691155	ES737782
BS691169	ES737796
BS691184	ES737811
BS691193	ES737820
BS691194	ES737821
BS691217	ES737844
BS755584	ES845211
BS755588	ES845215
