FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
994976	CD3+	CD3+	ANA809	520972
994984	lymphocyte	Lymph		520974
994985	CD3+	CD3+	ANA809	520974
994991	lymphocyte	Lymph		520975
994998	lymphocyte	Lymph		520976
995011	singlet	singlets		520978
995028	CD94+	Q2: CD94+	ANA884	520980
995033	CD8-	CD8-	ANA810	520981
995046	CD3+	CD3+	ANA809	520983
995047	CD56+	CD56+	ANA815	520983
995054	lymphocyte	Lymph		520985
995057	CD56+	CD56+	ANA815	520985
995074	singlet	singlets		520988
995076	CD3-	CD3-	ANA809	520988
995089	viable	NK-NKT: viable		520990
995100	viable	B cell: viable		520993
995107	viable	B cell: viable		520995
995108	singlet	singlets		520995
995120	CD38+	CD38+	ANA808	520996
995130	singlet	singlets		520998
995131	lymphocyte	Lymph		520998
995132	CD3-	CD3-	ANA809	520998
995135	CD24-	CD24-	ANA807	520998
995137	viable	B cell: viable		520999
995161	viable	B cell: viable		521002
995167	IgD-	Q4: IgD-	ANA813	521002
995169	viable	B cell: viable		521003
995172	CD3-	CD3-	ANA809	521003
995184		Treg: viable		521007
995188	singlet	singlets		521008
995195	CD4+	CD4+	ANA41	521009
995216	CD161-	Q1: CD161-	ANA883	521012
995218		Treg: viable		521013
995223	IL2RAhi	CD25hi	ANA163	521013
995225	CD161+	Q2: CD161+	ANA883	521013
995227		Treg: viable		521014
995247	lymphocyte	Lymph		521016
995261	lymphocyte	Lymph		521020
995268	singlet	singlets		521022
995282	CXCR3	CXCR3 FMO: viable	ANA76	521025
995297	CD8+	CD8+	ANA810	521027
995304	singlet	singlets		521029
995310	singlet	singlets		521030
995311	lymphocyte	Lymph		521030
995315	CXCR3+	CXCR3+	ANA76	521030
995328	CXCR3	CXCR3 FMO: viable	ANA76	521034
995340	singlet	singlets		521038
995343	CD56+	CD56+	ANA815	521038
995346	singlet	singlets		521039
995359	CXCR3+	CXCR3+	ANA76	521041
995360	CXCR3	CXCR3 FMO: viable	ANA76	521042
995361	singlet	singlets		521042
995375	CXCR3	CXCR3 FMO: viable	ANA76	521045
995390		Mono		521047
995401		Activated T: viable		521051
995409	CD3+	CD3+	ANA809	521053
995451	lymphocyte	Lymph		521060
995464	CD8+	CD8+	ANA810	521062
995465	HLADR-	Q1: HLADR-	ANA812	521062
995488		Activated T: viable		521066
995497	lymphocyte	Lymph		521069
995498		T cell: viable		521070
995501	CD3+	CD3+	ANA809	521070
995505	CD3+	CD3+	ANA809	521071
995509	lymphocyte	Lymph		521072
995512	CD28+	CD28+	ANA863	521072
995530	CD4+	CD4+	ANA41	521075
995535	lymphocyte	Lymph		521076
995546	CD27-	Q4: CD27-	ANA40	521077
995548	singlet	singlets		521078
995555	CD3+	CD3+	ANA809	521079
995569	CD45RA-	Q1: CD45RA-	ANA816	521081
995577	CD27+	Q2: CD27+	ANA40	521082
995583	CD45RA+	Q3: CD45RA+	ANA816	521083
995586	singlet	singlets		521084
995591	CD27-	Q4: CD27-	ANA40	521084
995600	lymphocyte	Lymph		521088
995603	singlet	singlets		521089
995612	CD314-	Q1: CD314-	ANA886	521090
995614	viable	NK-NKT: viable		521091
995618	CD8+	CD8+	ANA810	521091
995624	CD3+	CD3+	ANA809	521092
995630	lymphocyte	Lymph		521093
995637	lymphocyte	Lymph		521094
995642	lymphocyte	Lymph		521095
995646	CD94+	Q1: CD94+	ANA884	521095
995660	CD94-	Q3: CD94-	ANA884	521097
995666	CD314-	Q4: CD314-	ANA886	521098
995671	CD3+	CD3+	ANA809	521099
995673	viable	NK-NKT: viable		521100
995678	singlet	singlets		521101
995685	lymphocyte	Lymph		521102
995687	CD16+	CD16+	ANA811	521102
995689	HLADR+	HLADR+	ANA812	521102
995712	CD314+	Q3: CD314+	ANA886	521105
995723	viable	B cell: viable		521108
995725	viable	B cell: viable		521109
995726	singlet	singlets		521109
995739	singlet	singlets		521112
995744	CD24+	CD24+	ANA807	521112
995753	CD38-	CD38-	ANA808	521113
995761	CD38+	CD38+	ANA808	521114
995770	viable	B cell: viable		521116
995783	CD20+	CD20+	ANA806	521117
995801	lymphocyte	Lymph		521120
995802	CD3-	CD3-	ANA809	521120
995806		Treg: viable		521121
995809		Treg: viable		521123
995820	CD4+	CD4+	ANA41	521125
995821		Treg: viable		521126
995823	lymphocyte	Lymph		521126
995825	CD4+	CD4+	ANA41	521126
995870		Treg: viable		521132
995876	singlet	singlets		521133
995923	CXCR3+	CXCR3+	ANA76	521143
995926	lymphocyte	Lymph		521144
995938	CD19+	CD19+	ANA805	521146
995950		Mono		521149
995957	singlet	singlets		521152
995968	CD56+	CD56+	ANA815	521154
995973	CD3+	CD3+	ANA809	521155
995987	lymphocyte	Lymph		521158
995994	CD8+	CD8+	ANA810	521159
996001	singlet	singlets		521161
996008	lymphocyte	Lymph		521162
996010	CD19+	CD19+	ANA805	521162
996016	CXCR3	CXCR3 FMO: viable	ANA76	521164
996017	singlet	singlets		521164
996019	SIGLEC-3+	CD33+	ANA864	521164
996021	singlet	singlets		521165
996027	singlet	singlets		521167
996028		Activated T: viable		521168
996032	singlet	singlets		521169
996038	CD3+	CD3+	ANA809	521170
996047	singlet	singlets		521172
996057	CD4+	CD4+	ANA41	521173
996060		Activated T: viable		521174
996083	CD8+	CD8+	ANA810	521177
996087	lymphocyte	Lymph		521178
996102	CD3+	CD3+	ANA809	521180
996108	lymphocyte	Lymph		521181
996113		Activated T: viable		521182
996114	singlet	singlets		521182
996117		T cell: viable		521183
996118		T cell: viable		521184
996119	singlet	singlets		521184
996129	lymphocyte	Lymph		521187
996130	CD3+	CD3+	ANA809	521187
996138		T cell: viable		521189
996153	lymphocyte	Lymph		521191
996166	singlet	singlets		521193
996187	CD8+	CD8+	ANA810	521196
996193	CD8+	CD8+	ANA810	521197
996195	CD27+	Q1: CD27+	ANA40	521197
996200	CD8+	CD8+	ANA810	521198
996206	CD3+	CD3+	ANA809	521199
996207	CD8+	CD8+	ANA810	521199
996221	singlet	singlets		521203
996225	lymphocyte	Lymph		521204
996229	lymphocyte	Lymph		521205
996250	CD8+	CD8+	ANA810	521208
996264	CD8-	CD8-	ANA810	521210
996268	CD3+	CD3+	ANA809	521211
