BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS661930	ES717813
BS661941	ES717824
BS661952	ES717835
BS661960	ES717843
BS661961	ES717844
BS661963	ES717846
BS661968	ES717851
BS661984	ES717867
BS661992	ES717875
BS662011	ES717894
BS662017	ES717900
BS662026	ES717909
BS662034	ES717917
BS662046	ES717929
BS662053	ES717936
BS662064	ES717947
BS662076	ES717959
BS662080	ES717963
BS662085	ES717968
BS662090	ES717973
BS662091	ES717974
BS662095	ES717978
BS662096	ES717979
BS662115	ES717998
BS699693	ES754318
BS699695	ES754352
BS699697	ES754344
BS699697	ES754343
BS699698	ES754353
BS699699	ES754364
BS699700	ES754376
BS699703	ES754397
BS699704	ES754417
BS699706	ES754411
BS699708	ES754438
BS699708	ES754436
BS699708	ES754435
BS699709	ES754448
BS699709	ES754447
BS699710	ES754453
BS699710	ES754450
BS699710	ES754449
BS699712	ES754467
BS699713	ES754493
BS699713	ES754490
BS699714	ES754479
BS699718	ES754515
BS699719	ES754521
BS699722	ES754567
BS699724	ES754557
BS699725	ES754573
BS699726	ES754582
BS699727	ES754592
BS699727	ES754587
BS699730	ES754615
BS699731	ES754640
BS699731	ES754639
BS699734	ES754644
BS699734	ES754643
BS699734	ES754642
BS699734	ES754641
BS699735	ES754651
BS699736	ES754659
BS699736	ES754658
BS699737	ES754670
BS699738	ES754675
BS699740	ES754710
BS699740	ES754708
BS699741	ES754693
BS699742	ES754701
BS699742	ES754700
BS699743	ES754713
BS699744	ES754723
BS699745	ES754735
BS699746	ES754740
BS699747	ES754745
BS699748	ES754753
BS699749	ES754784
BS699750	ES754766
BS699751	ES754769
BS699752	ES754789
BS699753	ES754800
BS699753	ES754795
BS699753	ES754794
BS699755	ES754814
BS699756	ES754819
BS699756	ES754818
BS699757	ES754832
BS699757	ES754831
BS699757	ES754825
BS699758	ES754854
BS699760	ES754848
BS699761	ES754862
BS699761	ES754859
BS699763	ES754879
BS699763	ES754876
BS699764	ES754886
BS699765	ES754892
BS699766	ES754897
BS699768	ES754911
BS699769	ES754917
BS699770	ES754936
BS699770	ES754934
BS699770	ES754933
BS699772	ES754948
BS699774	ES754966
BS699777	ES754982
BS699777	ES754980
BS699783	ES755039
BS699784	ES755042
BS699786	ES755054
BS699787	ES755059
BS699788	ES755077
BS699788	ES755076
BS699788	ES755073
BS699789	ES755087
BS699789	ES755086
BS699789	ES755084
BS699789	ES755083
BS699789	ES755081
BS699791	ES755100
BS699791	ES755097
BS699792	ES755106
BS699793	ES755117
BS699793	ES755116
BS699794	ES755140
BS699794	ES755137
BS699801	ES755179
BS699801	ES755177
BS699802	ES755192
BS699805	ES755211
BS699807	ES755231
BS699809	ES755253
BS699809	ES755250
BS662122	ES718005
BS662127	ES718010
BS662144	ES718027
BS662166	ES718049
BS662167	ES718050
BS662175	ES718058
BS662192	ES718075
BS662194	ES718077
BS662195	ES718078
BS662197	ES718080
BS662212	ES718095
BS662219	ES718102
BS662243	ES718126
BS662260	ES718143
BS662270	ES718153
BS662279	ES718162
BS662280	ES718163
BS662281	ES718164
BS662292	ES718175
BS662293	ES718176
BS662297	ES718180
BS662302	ES718185
BS662309	ES718192
BS662320	ES718203
BS662327	ES718210
BS662337	ES718220
BS662345	ES718228
BS662351	ES718234
BS662358	ES718241
BS662359	ES718242
BS662367	ES718250
BS662380	ES718263
BS662381	ES718264
BS662383	ES718266
BS662386	ES718269
BS662398	ES718281
BS662404	ES718287
BS662405	ES718288
BS662419	ES718302
BS662422	ES718305
BS662433	ES718316
BS699810	ES755261
BS699812	ES755297
BS699812	ES755294
BS699813	ES755277
BS699814	ES755289
BS699815	ES755307
BS699815	ES755302
BS699817	ES755319
BS699818	ES755333
BS699819	ES755338
BS699820	ES755353
BS699823	ES755370
BS699823	ES755367
BS699824	ES755387
BS699825	ES755397
BS699826	ES755402
BS699827	ES755408
BS699828	ES755422
BS699828	ES755417
BS699829	ES755430
BS699830	ES755459
BS699830	ES755457
BS699831	ES755440
BS699832	ES755444
BS699833	ES755463
BS699834	ES755474
BS699836	ES755496
BS699837	ES755503
BS699837	ES755499
BS699837	ES755497
BS699838	ES755511
BS699839	ES755537
BS699839	ES755534
BS699839	ES755532
BS699841	ES755527
