STANDARD_CURVE_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ASSAY_GROUP_ID	ASSAY_ID	EXPERIMENT_ACCESSION	FORMULA	LOWER_LIMIT	LOWER_LIMIT_UNIT	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	UPPER_LIMIT	UPPER_LIMIT_UNIT	WORKSPACE_ID
SC21	ANA143	IL1-B		LUMFLU1	EXP11771	Regression curve	0.071	pg/ml	MBAA	Parsed	4999.798	pg/ml	2799
SC36	ANA133	IL17A		LUMFLU1	EXP11771	Regression curve	0.754	pg/ml	MBAA	Parsed	5142.121	pg/ml	2799
SC41	ANA20	MIP1A		LUMFLU1	EXP11771	Regression curve	0.198	pg/ml	MBAA	Parsed	1292.745	pg/ml	2799
SC56	ANA58	FRACTALKINE		LUMFLU2	EXP11771	Regression curve	9.961	pg/ml	MBAA	Parsed	4982.148	pg/ml	2799
SC90	ANA212	TGFA		LUMFLU2	EXP11771	Regression curve	0.211	pg/ml	MBAA	Parsed	120.853	pg/ml	2799
SC92	ANA192	TNFB		LUMFLU2	EXP11771	Regression curve	3.332	pg/ml	MBAA	Parsed	5004.277	pg/ml	2799
SC110	ANA176	IL5		LUMFLU3	EXP11771	Regression curve	0.053	pg/ml	MBAA	Parsed	1429.087	pg/ml	2799
SC79	ANA61	IP10		LUMFLU2	EXP11771	Regression curve	2.79	pg/ml	MBAA	Parsed	1424.391	pg/ml	2799
SC113	ANA72	IL8		LUMFLU3	EXP11771	Regression curve	0.247	pg/ml	MBAA	Parsed	1466.626	pg/ml	2799
SC35	ANA130	IL15		LUMFLU1	EXP11771	Regression curve	0.191	pg/ml	MBAA	Parsed	5075.127	pg/ml	2799
SC37	ANA61	IP10		LUMFLU1	EXP11771	Regression curve	0.759	pg/ml	MBAA	Parsed	1430.574	pg/ml	2799
SC10	ANA81	EGF		LUMFLU1	EXP11771	Regression curve	0.626	pg/ml	MBAA	Parsed	5060.662	pg/ml	2799
SC20	ANA142	IL1-A		LUMFLU1	EXP11771	Regression curve	2.438	pg/ml	MBAA	Parsed	5006.002	pg/ml	2799
