REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR10102				MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	EGF				2799
ESR10103	ANA3	EOTAXIN		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	EOTAXIN				2799
ESR10104				MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	FGF2				2799
ESR10105				MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	FLT3LIGAND				2799
ESR10106				MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	FRACTALKINE				2799
ESR10107	ANA56	G-CSF		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	GCSF				2799
ESR10108	ANA53	GMCSF		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	GMCSF				2799
ESR10109	ANA60	GRO		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	GRO				2799
ESR10110	ANA99	IFNA2		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IFNA2				2799
ESR10111	ANA110	IFNG		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IFNG				2799
ESR10112	ANA142	IL1A		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL1A				2799
ESR10113	ANA143	IL1B		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL1B				2799
ESR10114	ANA145	IL1RA		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL1RA				2799
ESR10115	ANA148	IL2		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL2				2799
ESR10116	ANA166	IL-3		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL3				2799
ESR10117	ANA174	IL-4		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL4				2799
ESR10118	ANA176	IL-5		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL5				2799
ESR10119	ANA178	IL6		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL6				2799
ESR10120	ANA181	IL7		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL7				2799
ESR10121	ANA72	IL8		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL8				2799
ESR10122	ANA183	IL-9		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL9				2799
ESR10123	ANA118	IL10		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL10				2799
ESR10124	ANA124	IL12P40		MPXHCYTO60KMPX42				N	1894024	Luminex Technology - Millipore	IL12P40				2799
