REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR12084				BD-103-0204				N		Illumina	GX-BeadChip HT12v4		Other		2799
ESR12085				NA				N		Lampire Biological Laboratories	turkey blood in Alsevers		Hemagglutination Inhibition		2799
ESR12086		Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)		NA				N		Unk	Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)		Hemagglutination Inhibition		2799
ESR12087		Influenza A virus A/Perth/19/2009 (H3N2)		NA				N		Unk	Influenza A virus A/Perth/19/2009 (H3N2)		Hemagglutination Inhibition		2799
ESR12088		Influenza B virus B/Brisbane/60/2008		NA				N		Unk	Influenza B virus B/Brisbane/60/2008		Hemagglutination Inhibition		2799
ESR12091				NA				N		Lampire Biological Laboratories	turkey blood in Alsevers		Virus Neutralization		2799
ESR12092		Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)		NA				N		Unk	Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)		Virus Neutralization		2799
ESR12093		Influenza A virus A/Perth/19/2009 (H3N2)		NA				N		Unk	Influenza A virus A/Perth/19/2009 (H3N2)		Virus Neutralization		2799
ESR12094		Influenza B virus B/Brisbane/60/2008		NA				N		Unk	Influenza B virus B/Brisbane/60/2008		Virus Neutralization		2799
ESR12209	ANA813	IgD	AB_396113	555778	Anti-IgD			N		BD Biosciences	NCH-2012-FR-R1	FITC	Flow Cytometry		2799
ESR12210	ANA807	CD24	AB_395822	555428	Anti-CD24			N		BD Biosciences	NCH-2012-FR-R2	PE	Flow Cytometry		2799
ESR12211	ANA805	CD19	AB_130854	IM2708U	Anti-CD19			N		Beckman Coulter	NCH-2012-FR-R3	ECD	Flow Cytometry		2799
ESR12212	ANA806	CD20	AB_395990	555624	Anti-CD20			N		BD Biosciences	NCH-2012-FR-R4	PC5	Flow Cytometry		2799
ESR12213	ANA808	CD38	AB_399969	335790	Anti-CD38			N		BD Biosciences	NCH-2012-FR-R5	PC7	Flow Cytometry		2799
ESR12214	ANA891	CD138	AB_400571	347207	Anti-CD138			N		BD Biosciences	NCH-2012-FR-R6	APC	Flow Cytometry		2799
ESR12215	ANA804	CD14	AB_396944	557923	Anti-CD14			N		BD Biosciences	NCH-2012-FR-R7	A700	Flow Cytometry		2799
ESR12216	ANA40	CD27	AB_571977	302816	Anti-CD27			N		BioLegend	NCH-2012-FR-R8	APC-Cy7	Flow Cytometry		2799
ESR12217	ANA868	CD86	AB_1645585	560357	Anti-CD86			N		BD Biosciences	NCH-2012-FR-R9	V450 (PB)	Flow Cytometry		2799
ESR12218		Lin-1	AB_400053	340546	Anti-Lin-1			N		BD Biosciences	NCH-2012-FR-R10	FITC	Flow Cytometry		2799
ESR12219		BDCA-2 (CD303)	AB_244168	130-090-511	Anti-BDCA-2 (CD303)			N		Miltenyi	NCH-2012-FR-R11	PE	Flow Cytometry		2799
