BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS716936	ES779535
BS716937	ES779490
BS716941	ES779492
BS716948	ES779541
BS716949	ES779496
BS716949	ES779519
BS716954	ES779567
BS716955	ES779522
BS717086	ES779594
BS717090	ES779619
BS717091	ES779688
BS716862	ES784238
BS716863	ES784197
BS717041	ES779412
BS717043	ES779414
BS716840	ES784251
BS716841	ES783640
BS716842	ES784258
BS716842	ES784260
BS716843	ES784334
BS716844	ES784303
BS716845	ES784254
BS716846	ES784262
BS716846	ES784265
BS716848	ES784266
BS716848	ES784269
BS716851	ES784294
BS716853	ES783623
BS716853	ES783624
BS716856	ES784164
BS716858	ES784234
BS716860	ES784176
BS716958	ES779569
BS716967	ES779505
BS716968	ES779528
BS717051	ES779691
BS717052	ES779577
BS717053	ES779646
BS717065	ES779675
BS717067	ES779653
BS717068	ES779585
BS717070	ES779632
BS717070	ES779586
BS717071	ES779678
BS717074	ES779634
BS717075	ES779680
BS716871	ES784167
BS716873	ES784228
BS716875	ES784131
BS716876	ES783625
BS716876	ES783626
BS716878	ES783646
BS716878	ES783648
BS716879	ES784134
BS716879	ES784135
BS716880	ES784153
BS716881	ES784140
BS716883	ES783642
BS716883	ES783643
BS716888	ES784142
BS716890	ES784148
BS716900	ES783583
BS716901	ES783617
BS716902	ES784358
BS716902	ES784360
BS716903	ES784346
BS716907	ES784351
BS717020	ES779470
BS716910	ES784366
BS716911	ES784355
BS716911	ES784356
BS716914	ES784370
BS716914	ES784372
BS716916	ES784279
BS716917	ES784308
BS716920	ES784282
BS716920	ES784284
BS716920	ES784285
BS717025	ES779475
BS717030	ES779401
BS716998	ES779448
BS716922	ES784321
BS716923	ES784341
BS716924	ES784288
BS716930	ES779532
BS716931	ES779510
BS716933	ES779511
BS716933	ES779488
BS716868	ES784182
BS716868	ES784184
BS716869	ES784127
BS716934	ES779534
BS716939	ES779491
BS716944	ES779562
BS716946	ES779563
BS717084	ES779593
BS717085	ES779685
BS717086	ES779617
BS717088	ES779618
BS717088	ES779595
BS717095	ES779667
BS716863	ES784194
BS716863	ES784196
BS717044	ES779415
BS717050	ES779622
BS717050	ES779576
BS717050	ES779599
BS716839	ES784298
BS716843	ES784337
BS716844	ES784304
BS716845	ES784255
BS716846	ES784264
BS716852	ES784271
BS716854	ES784222
BS716857	ES784114
BS716857	ES784117
BS716859	ES784190
BS716860	ES784177
BS716861	ES784118
BS716960	ES779547
BS716961	ES779502
BS716962	ES779525
BS716963	ES779480
BS716966	ES779550
BS716969	ES779506
BS716969	ES779483
BS716970	ES779552
BS717081	ES779706
BS717082	ES779592
BS717061	ES779696
BS717061	ES779673
BS717064	ES779629
BS717066	ES779607
BS717068	ES779631
BS717070	ES779609
BS717073	ES779702
BS717073	ES779656
BS717077	ES779681
BS716875	ES784130
BS716881	ES784138
BS716881	ES784139
BS716886	ES784232
BS716887	ES783658
BS716891	ES783634
BS716891	ES783635
BS716892	ES783612
BS716893	ES783649
BS716894	ES783586
BS716896	ES783580
BS716899	ES783597
BS716902	ES784359
BS716905	ES784324
BS716977	ES779427
BS716982	ES779432
BS716908	ES784206
BS716909	ES784326
BS716914	ES784371
BS716916	ES784278
BS716916	ES784280
BS716919	ES784342
BS716920	ES784283
BS717021	ES779471
BS717022	ES779472
BS717026	ES779476
BS717029	ES779400
BS716986	ES779436
BS716987	ES779437
BS716866	ES784242
BS716867	ES784200
BS716921	ES784312
BS716921	ES784313
BS716926	ES779553
BS716932	ES779533
BS716868	ES784183
BS716869	ES784126
BS716937	ES779513
BS716939	ES779514
BS716940	ES779537
BS716951	ES779520
BS716953	ES779498
BS716954	ES779544
BS717084	ES779570
BS717089	ES779664
BS717091	ES779642
BS717092	ES779574
BS717093	ES779643
BS716862	ES784241
BS716864	ES784178
BS717045	ES779416
BS717048	ES779419
BS716838	ES784333
BS716849	ES783662
BS716851	ES784297
BS716854	ES784224
BS716855	ES784186
BS716855	ES784187
BS716855	ES784188
BS716855	ES784189
BS716856	ES784163
BS716857	ES784116
BS716859	ES784192
BS716960	ES779524
BS716970	ES779529
BS717081	ES779683
BS717082	ES779615
BS717082	ES779638
BS717083	ES779661
BS717051	ES779645
BS717054	ES779624
BS717060	ES779627
BS717061	ES779650
BS717068	ES779608
BS717069	ES779654
BS717069	ES779677
BS717073	ES779679
BS717074	ES779588
BS717079	ES779682
BS716874	ES783656
BS716875	ES784133
BS716876	ES783628
BS716877	ES783604
BS716881	ES784141
BS716884	ES784170
BS716884	ES784172
BS716886	ES784231
BS716887	ES783659
BS716889	ES783629
BS716890	ES784149
BS716893	ES783650
BS716895	ES783589
BS716896	ES783578
BS716897	ES783614
BS716901	ES783618
BS716901	ES783619
BS716902	ES784361
BS716904	ES784204
BS716906	ES784364
BS716906	ES784365
BS717015	ES779465
BS717019	ES779469
BS716981	ES779431
BS716983	ES779433
BS716908	ES784207
BS716910	ES784367
BS716912	ES784210
BS716912	ES784211
BS716915	ES784216
BS716917	ES784306
BS716918	ES784316
BS716919	ES784344
BS716993	ES779443
BS717002	ES779452
BS717007	ES779457
BS717040	ES779411
BS716865	ES784122
BS716865	ES784123
BS716923	ES784339
BS716923	ES784343
BS716924	ES784289
BS716929	ES779486
BS716870	ES784246
BS716935	ES779489
BS716940	ES779560
BS716942	ES779538
BS716944	ES779539
BS716946	ES779540
BS716950	ES779542
BS716956	ES779545
BS717084	ES779616
BS717087	ES779686
BS717089	ES779687
BS717090	ES779573
BS717094	ES779575
BS716863	ES784195
BS716864	ES784179
BS717042	ES779413
BS716840	ES784253
BS716841	ES783637
BS716846	ES784263
BS716847	ES784292
BS716847	ES784293
BS716852	ES784272
BS716858	ES784235
BS716962	ES779548
BS717054	ES779601
BS717055	ES779670
BS717056	ES779602
BS717060	ES779604
BS717062	ES779605
BS717063	ES779674
BS717065	ES779652
BS717075	ES779703
BS717075	ES779657
BS717076	ES779612
BS717076	ES779635
BS717078	ES779636
BS717080	ES779614
BS716873	ES784226
BS716873	ES784227
BS716874	ES783654
BS716880	ES784152
BS716882	ES783605
BS716883	ES783644
BS716889	ES783630
BS716892	ES783609
BS716893	ES783651
BS716895	ES783590
BS716896	ES783579
BS716899	ES783598
BS716899	ES783600
BS716900	ES783584
BS716901	ES783620
BS716904	ES784205
BS716905	ES784322
BS716905	ES784323
BS716907	ES784352
BS717010	ES779460
BS717011	ES779461
BS717013	ES779463
BS717016	ES779466
BS717018	ES779468
BS716978	ES779428
BS716910	ES784369
BS716912	ES784212
BS716915	ES784217
BS717024	ES779474
BS717027	ES779477
BS716990	ES779440
BS716997	ES779447
BS716866	ES784243
BS716867	ES784201
BS716921	ES784311
BS716922	ES784319
BS716925	ES779507
BS716926	ES779530
BS716927	ES779508
BS716928	ES779554
BS716930	ES779555
BS716938	ES779536
BS716947	ES779495
BS716950	ES779565
BS716952	ES779543
BS716956	ES779568
BS717087	ES779663
BS717089	ES779641
BS717092	ES779620
BS717094	ES779621
BS717094	ES779598
BS717095	ES779690
BS716862	ES784239
BS716864	ES784180
BS716957	ES779500
BS717049	ES779420
BS716839	ES784300
BS716841	ES783638
BS716842	ES784259
BS716843	ES784335
BS716843	ES784336
BS716844	ES784305
BS716847	ES784290
BS716850	ES784218
BS716851	ES784296
BS716853	ES783622
BS716854	ES784225
BS716856	ES784162
BS716856	ES784165
BS716858	ES784236
BS716860	ES784175
BS716861	ES784120
BS716958	ES779546
BS716963	ES779503
BS716964	ES779526
BS716965	ES779504
BS716966	ES779527
BS716967	ES779482
BS717053	ES779669
BS717055	ES779693
BS717056	ES779625
BS717057	ES779648
BS717059	ES779695
BS717060	ES779581
BS717062	ES779628
BS717067	ES779676
BS717071	ES779655
BS717072	ES779610
BS717074	ES779611
BS717077	ES779704
BS717079	ES779705
BS717080	ES779637
BS716871	ES784166
BS716872	ES784155
BS716873	ES784229
BS716882	ES783606
BS716882	ES783607
BS716882	ES783608
BS716884	ES784171
BS716884	ES784173
BS716885	ES784160
BS716885	ES784161
BS716886	ES784230
BS716887	ES783660
BS716892	ES783610
BS716893	ES783652
BS716898	ES783594
BS716898	ES783595
BS716898	ES783596
BS716899	ES783599
BS716903	ES784347
BS716904	ES784202
BS716905	ES784325
BS717017	ES779467
BS716975	ES779425
BS716908	ES784208
BS716909	ES784327
BS716911	ES784354
BS716913	ES784276
BS716913	ES784277
BS716915	ES784214
BS716917	ES784307
BS717023	ES779473
BS717033	ES779404
BS716984	ES779434
BS716985	ES779435
BS716988	ES779438
BS716992	ES779442
BS717001	ES779451
BS717038	ES779409
BS716921	ES784310
BS716922	ES784320
BS716870	ES784249
BS716943	ES779516
BS716945	ES779517
BS716947	ES779518
BS716953	ES779521
BS717086	ES779571
BS717091	ES779665
BS717092	ES779597
BS717093	ES779689
BS716957	ES779523
BS716839	ES784301
BS716844	ES784302
BS716845	ES784257
BS716850	ES784219
BS716851	ES784295
BS716852	ES784270
BS716854	ES784223
BS716859	ES784191
BS716859	ES784193
BS716861	ES784121
BS716959	ES779501
BS716961	ES779479
BS716964	ES779549
BS717081	ES779660
BS717052	ES779600
BS717054	ES779578
BS717055	ES779647
BS717057	ES779694
BS717057	ES779671
BS717058	ES779626
BS717058	ES779580
BS717058	ES779603
BS717059	ES779649
BS717063	ES779697
BS717066	ES779630
BS717069	ES779700
BS717072	ES779587
BS717078	ES779613
BS717079	ES779659
BS716872	ES784154
BS716876	ES783627
BS716877	ES783601
BS716877	ES783602
BS716885	ES784158
BS716885	ES784159
BS716889	ES783632
BS716890	ES784147
BS716891	ES783633
BS716891	ES783636
BS716892	ES783611
BS716894	ES783585
BS716896	ES783577
BS716897	ES783615
BS716900	ES783582
BS716903	ES784348
BS716906	ES784363
BS716907	ES784353
BS717014	ES779464
BS716973	ES779423
BS716974	ES779424
BS716909	ES784329
BS716910	ES784368
BS716912	ES784213
BS716914	ES784373
BS716915	ES784215
BS716917	ES784309
BS717031	ES779402
BS717034	ES779405
BS717037	ES779408
BS716989	ES779439
BS716991	ES779441
BS716994	ES779444
BS717000	ES779450
BS717004	ES779454
BS717006	ES779456
BS717039	ES779410
BS716865	ES784124
BS716866	ES784244
BS716867	ES784198
BS716867	ES784199
BS716927	ES779485
BS716928	ES779531
BS716929	ES779509
BS716932	ES779556
BS716934	ES779557
BS716935	ES779512
BS716936	ES779558
BS716943	ES779493
BS716945	ES779494
BS716955	ES779499
BS717093	ES779666
BS717095	ES779644
BS717047	ES779418
BS716838	ES784331
BS716838	ES784332
BS716840	ES784250
BS716840	ES784252
BS716841	ES783639
BS716842	ES784261
BS716845	ES784256
BS716847	ES784291
BS716848	ES784267
BS716849	ES783663
BS716849	ES783664
BS716852	ES784273
BS716853	ES783621
BS716857	ES784115
BS716959	ES779478
BS716965	ES779481
BS716968	ES779551
BS716972	ES779422
BS717083	ES779684
BS717059	ES779672
BS717062	ES779582
BS717064	ES779583
BS717064	ES779606
BS717065	ES779698
BS717071	ES779701
BS717077	ES779658
BS716871	ES784168
BS716871	ES784169
BS716872	ES784157
BS716874	ES783653
BS716875	ES784132
BS716879	ES784136
BS716879	ES784137
BS716880	ES784150
BS716880	ES784151
BS716887	ES783657
BS716888	ES784145
BS716895	ES783592
BS716897	ES783613
BS716897	ES783616
BS716898	ES783593
BS716904	ES784203
BS717012	ES779462
BS716976	ES779426
BS716980	ES779430
BS716911	ES784357
BS716916	ES784281
BS716918	ES784314
BS716919	ES784338
BS716919	ES784340
BS717028	ES779399
BS717035	ES779406
BS717036	ES779407
BS716996	ES779446
BS716869	ES784128
BS716869	ES784129
BS716938	ES779559
BS716941	ES779515
BS716942	ES779561
BS716948	ES779564
BS716951	ES779497
BS716952	ES779566
BS717085	ES779639
BS717085	ES779662
BS717087	ES779640
BS717088	ES779572
BS717090	ES779596
BS716862	ES784240
BS716864	ES784181
BS717046	ES779417
BS716838	ES784330
BS716839	ES784299
BS716848	ES784268
BS716849	ES783661
BS716850	ES784220
BS716850	ES784221
BS716858	ES784237
BS716860	ES784174
BS716861	ES784119
BS716971	ES779421
BS717083	ES779707
BS717051	ES779668
BS717052	ES779623
BS717053	ES779692
BS717056	ES779579
BS717063	ES779651
BS717066	ES779584
BS717067	ES779699
BS717072	ES779633
BS717076	ES779589
BS717078	ES779590
BS717080	ES779591
BS716872	ES784156
BS716874	ES783655
BS716877	ES783603
BS716878	ES783645
BS716878	ES783647
BS716883	ES783641
BS716886	ES784233
BS716888	ES784143
BS716888	ES784144
BS716889	ES783631
BS716890	ES784146
BS716894	ES783587
BS716894	ES783588
BS716895	ES783591
BS716900	ES783581
BS716903	ES784349
BS716906	ES784362
BS716907	ES784350
BS717009	ES779459
BS716979	ES779429
BS716908	ES784209
BS716909	ES784328
BS716913	ES784274
BS716913	ES784275
BS716918	ES784315
BS716918	ES784317
BS717032	ES779403
BS716995	ES779445
BS716999	ES779449
BS717003	ES779453
BS717005	ES779455
BS717008	ES779458
BS716865	ES784125
BS716866	ES784245
BS716922	ES784318
BS716923	ES784345
BS716924	ES784286
BS716924	ES784287
BS716925	ES779484
BS716931	ES779487
BS716868	ES784185
BS716870	ES784247
BS716870	ES784248
