BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS749904	ES860208
BS749904	ES860226
BS749904	ES860228
BS749904	ES860231
BS749905	ES860237
BS749906	ES860242
BS749906	ES860243
BS749904	ES860714
BS749947	ES860732
BS749920	ES860736
BS749920	ES860738
BS749920	ES860739
BS749920	ES860741
BS749955	ES860764
BS749956	ES860770
BS749958	ES860779
BS749958	ES860782
BS749932	ES860784
BS749932	ES860788
BS749936	ES860803
BS749936	ES860804
BS749962	ES860820
BS749962	ES860821
BS749941	ES860829
BS714356	ES774483
BS714357	ES774484
BS714365	ES774492
BS714374	ES774501
BS714375	ES774502
BS714379	ES774506
BS749908	ES860255
BS749913	ES860282
BS749914	ES860287
BS749914	ES860290
BS749914	ES860291
BS749915	ES860292
BS749915	ES860297
BS749916	ES860301
BS749919	ES860318
BS749919	ES860320
BS749920	ES860327
BS749921	ES860332
BS749922	ES860336
BS749922	ES860337
BS749926	ES860358
BS749928	ES860372
BS749928	ES860375
BS749929	ES860378
BS749931	ES860392
BS749932	ES860394
BS749932	ES860396
BS749932	ES860397
BS749937	ES860426
BS749939	ES860438
BS749940	ES860443
BS749942	ES860457
BS749942	ES860459
BS749904	ES860469
BS749904	ES860488
BS749947	ES860508
BS749947	ES860513
BS749950	ES860531
BS749920	ES860534
BS749952	ES860546
BS749954	ES860562
BS749956	ES860578
BS749932	ES860599
BS749959	ES860609
BS749961	ES860625
BS749941	ES860640
BS749963	ES860646
BS749963	ES860647
BS749964	ES860655
BS749967	ES860671
BS749967	ES860675
BS749968	ES860679
BS749968	ES860681
BS716762	ES782305
BS716763	ES782306
BS716763	ES782308
BS716764	ES782314
BS716768	ES782342
BS716768	ES782344
BS716772	ES782370
BS716772	ES782371
BS716772	ES782374
BS716773	ES782377
BS716774	ES782389
BS716775	ES782390
BS716775	ES782394
BS716776	ES782401
BS716780	ES782425
BS716781	ES782435
BS716781	ES782436
BS716781	ES782437
BS716782	ES782441
BS716782	ES782442
BS716782	ES782444
BS716783	ES782450
BS716784	ES782455
BS714384	ES775540
BS714464	ES775543
BS714387	ES775546
BS714466	ES775547
BS714467	ES775549
BS714391	ES775554
BS714474	ES775563
BS714403	ES775578
BS714406	ES775584
BS714411	ES775594
BS714491	ES775597
BS714499	ES775613
BS714507	ES775629
BS714509	ES775633
BS714431	ES775634
BS714436	ES775644
BS714439	ES775650
BS714520	ES775655
BS714442	ES775656
BS714532	ES775679
BS714316	ES774443
BS714320	ES774447
BS714326	ES774453
BS714329	ES774456
BS714343	ES774470
BS714348	ES774475
BS716807	ES782617
BS716810	ES782636
BS716813	ES782656
BS716813	ES782659
BS716814	ES782663
BS716814	ES782666
BS716814	ES782667
BS716818	ES782693
BS716819	ES782700
BS716819	ES782703
BS716821	ES782717
BS716822	ES782724
BS716822	ES782725
BS716823	ES782729
BS716824	ES782737
BS747678	ES815183
BS747680	ES815187
BS747692	ES815211
BS747693	ES815214
BS747694	ES815218
BS747695	ES815220
BS747834	ES815510
BS747839	ES815519
BS747841	ES815524
BS747846	ES815534
BS747848	ES815537
BS747853	ES815547
BS747855	ES815553
BS747856	ES815555
BS747866	ES815577
BS747866	ES815578
BS747870	ES815586
BS747874	ES815593
BS747879	ES815604
BS747888	ES815622
BS747891	ES815627
BS747892	ES815630
BS747901	ES815647
BS747903	ES815652
BS747908	ES815661
BS747706	ES815242
BS747710	ES815249
BS747722	ES815274
BS747727	ES815283
BS747729	ES815287
BS747730	ES815290
BS747738	ES815305
BS747742	ES815313
BS747745	ES815319
BS747748	ES815325
BS747751	ES815331
BS747756	ES815341
BS747757	ES815343
BS747758	ES815347
BS747761	ES815357
BS747762	ES815360
BS747767	ES815369
BS747772	ES815379
BS747778	ES815392
BS747780	ES815395
BS747783	ES815402
BS747785	ES815406
BS747786	ES815408
BS747788	ES815411
BS747790	ES815415
BS747795	ES815426
BS747796	ES815429
BS747797	ES815433
BS747800	ES815441
BS747802	ES815445
BS747804	ES815449
BS747816	ES815473
BS747821	ES815484
BS747824	ES815489
BS747831	ES815504
BS747832	ES815506
BS716785	ES782460
BS716787	ES782477
BS716788	ES782483
BS716788	ES782487
BS716791	ES782508
BS716792	ES782511
BS716795	ES782533
BS716795	ES782534
BS716797	ES782548
BS716799	ES782558
BS716801	ES782576
BS716802	ES782582
BS716804	ES782593
BS716826	ES782747
BS716826	ES782749
BS716827	ES782754
BS716828	ES782763
BS716828	ES782766
BS716832	ES782791
BS716834	ES782806
BS716834	ES782809
BS716837	ES782824
BS716837	ES782827
BS749904	ES860214
BS749904	ES860218
BS749904	ES860219
BS749904	ES860230
BS749907	ES860246
BS749973	ES860706
BS749973	ES860710
BS749904	ES860712
BS749904	ES860717
BS749904	ES860718
BS749920	ES860737
BS749951	ES860745
BS749951	ES860746
BS749951	ES860747
BS749924	ES860751
BS749924	ES860752
BS749956	ES860766
BS749956	ES860769
BS749931	ES860772
BS749958	ES860778
BS749958	ES860780
BS749958	ES860781
BS749958	ES860783
BS749959	ES860792
BS749960	ES860796
BS749938	ES860814
BS749938	ES860819
BS714353	ES774480
BS714354	ES774481
BS714362	ES774489
BS714369	ES774496
BS714371	ES774498
BS749908	ES860250
BS749908	ES860254
BS749909	ES860257
BS749911	ES860271
BS749912	ES860274
BS749913	ES860284
BS749914	ES860289
BS749915	ES860295
BS749916	ES860302
BS749918	ES860312
BS749919	ES860321
BS749922	ES860335
BS749923	ES860342
BS749923	ES860344
BS749924	ES860347
BS749925	ES860355
BS749926	ES860361
BS749927	ES860364
BS749927	ES860365
BS749927	ES860366
BS749929	ES860376
BS749930	ES860383
BS749931	ES860390
BS749933	ES860404
BS749934	ES860406
BS749935	ES860415
BS749935	ES860416
BS749936	ES860419
BS749938	ES860432
BS749939	ES860437
BS749940	ES860446
BS749947	ES860509
BS749948	ES860514
BS749948	ES860516
BS749950	ES860530
BS749920	ES860532
BS749920	ES860535
BS749952	ES860547
BS749952	ES860548
BS749952	ES860549
BS749924	ES860556
BS749955	ES860570
BS749956	ES860575
BS749956	ES860576
BS749956	ES860577
BS749956	ES860579
BS749958	ES860593
BS749958	ES860596
BS749959	ES860605
BS749960	ES860610
BS749961	ES860623
BS749938	ES860628
BS749938	ES860630
BS749941	ES860644
BS749965	ES860662
BS749967	ES860673
BS749969	ES860682
BS749970	ES860688
BS749970	ES860692
BS749971	ES860696
BS749971	ES860697
BS716762	ES782304
BS716763	ES782310
BS716764	ES782313
BS716764	ES782319
BS716765	ES782320
BS716765	ES782326
BS716767	ES782337
BS716767	ES782340
BS716769	ES782349
BS716769	ES782353
BS716770	ES782359
BS716771	ES782362
BS716772	ES782375
BS716775	ES782391
BS716776	ES782399
BS716776	ES782400
BS716776	ES782402
BS716779	ES782422
BS716780	ES782430
BS716782	ES782439
BS716782	ES782440
BS716782	ES782443
BS716784	ES782456
BS716784	ES782457
BS714385	ES775542
BS714394	ES775560
BS714404	ES775580
BS714405	ES775582
BS714410	ES775592
BS714490	ES775595
BS714414	ES775600
BS714424	ES775620
BS714503	ES775621
BS714504	ES775623
BS714426	ES775624
BS714443	ES775658
BS714523	ES775661
BS714447	ES775666
BS714527	ES775669
BS714454	ES775680
BS714535	ES775685
BS714459	ES775690
BS714330	ES774457
BS716805	ES782602
BS716807	ES782616
BS716808	ES782624
BS716808	ES782627
BS716809	ES782633
BS716809	ES782634
BS716811	ES782645
BS716812	ES782650
BS716812	ES782653
BS716813	ES782657
BS716813	ES782658
BS716816	ES782681
BS716818	ES782696
BS716819	ES782698
BS716820	ES782707
BS716821	ES782716
BS716822	ES782719
BS716822	ES782722
BS716823	ES782726
BS747682	ES815192
BS747684	ES815195
BS747687	ES815201
BS747688	ES815204
BS747693	ES815216
BS747695	ES815219
BS747836	ES815513
BS747842	ES815526
BS747843	ES815527
BS747849	ES815540
BS747851	ES815544
BS747859	ES815563
BS747859	ES815564
BS747860	ES815566
BS747862	ES815569
BS747876	ES815597
BS747886	ES815618
BS747887	ES815619
BS747893	ES815632
BS747895	ES815636
BS747900	ES815645
BS747903	ES815651
BS747708	ES815246
BS747715	ES815259
BS747717	ES815264
BS747724	ES815277
BS747726	ES815281
BS747734	ES815298
BS747742	ES815314
BS747749	ES815327
BS747752	ES815333
BS747754	ES815338
BS747757	ES815345
BS747758	ES815349
BS747759	ES815353
BS747761	ES815358
BS747764	ES815364
BS747773	ES815382
BS747774	ES815383
BS747774	ES815384
BS747775	ES815385
BS747778	ES815391
BS747780	ES815396
BS747784	ES815404
BS747789	ES815413
BS747790	ES815416
BS747795	ES815428
BS747798	ES815437
BS747802	ES815446
BS747810	ES815462
BS747814	ES815470
BS747815	ES815472
BS747819	ES815480
BS747820	ES815482
BS747822	ES815486
BS747826	ES815494
BS716786	ES782468
BS716786	ES782472
BS716786	ES782473
BS716788	ES782481
BS716789	ES782489
BS716793	ES782517
BS716794	ES782527
BS716795	ES782536
BS716798	ES782553
BS716798	ES782556
BS716800	ES782566
