REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR12182		A/Victoria /361/2011 (H3N2)		NA				N		Unk	A/Victoria /361/2011 (H3N2)		Hemagglutination Inhibition		2799
ESR12183		A/California/07/09 (H1N1)		NA				N		Unk	A/California/07/09 (H1N1)		Hemagglutination Inhibition		2799
ESR12184		B/Wisconsin		NA				N		Unk	B/Wisconsin		Hemagglutination Inhibition		2799
ESR12185		B/Massachusetts		NA				N		Unk	B/Massachusetts		Hemagglutination Inhibition		2799
ESR12186		A/Victoria /361/2011 (H3N2)		NA				N		Unk	A/Victoria /361/2011 (H3N2)		Virus Neutralization		2799
ESR12187		A/California/07/09 (H1N1)		NA				N		Unk	A/California/07/09 (H1N1)		Virus Neutralization		2799
ESR12188		B/Wisconsin		NA				N		Unk	B/Wisconsin		Virus Neutralization		2799
ESR12189		B/Massachusetts		NA				N		Unk	B/Massachusetts		Virus Neutralization		2799
ESR12190				BD-103-0204			GX-BeadChip HT12v4	N		Illumina	NCH-2013_MIC_REAGENT		Array		2799
ESR12245	ANA813	IgD	AB_396113	555778	Anti-IgD			N		BD Biosciences	IgD FITC	FITC	Flow Cytometry		2799
ESR12246	ANA807	CD24	AB_395822	555428	Anti-CD24			N		BD Biosciences	CD24 PE	PE	Flow Cytometry		2799
ESR12247	ANA805	CD19	AB_130854	IM2708U	Anti-CD19			N		Beckman Coulter	CD19 ECD	ECD	Flow Cytometry		2799
ESR12248	ANA806	CD20	AB_395990	555624	Anti-CD20			N		BD Biosciences	CD20 PC5	PC5	Flow Cytometry		2799
ESR12249	ANA808	CD38	AB_399969	335790	Anti-CD38			N		BD Biosciences	CD39 PC7	PC7	Flow Cytometry		2799
ESR12250	ANA891	CD138	AB_400571	347207	Anti-CD138			N		BD Biosciences	CD138 APC	APC	Flow Cytometry		2799
ESR12251	ANA804	CD14	AB_396944	557923	Anti-CD14			N		BD Biosciences	CD14 A700	A700	Flow Cytometry		2799
ESR12252	ANA40	CD27	AB_571977	302816	Anti-CD27			N		BioLegend	CD27 APC-Cy7	APC-Cy7	Flow Cytometry		2799
ESR12253	ANA868	CD86	AB_1645585	560357	Anti-CD86			N		BD Biosciences	CD86 V450 (PacBlue)	V450 (PB)	Flow Cytometry		2799
ESR12254		Lin-1	AB_400053	340546	Anti-Lin-1			N		BD Biosciences	Lin-1 FITC	FITC	Flow Cytometry		2799
ESR12255		BDCA-2 (CD303)	AB_244168	130-090-511	Anti-BDCA-2 (CD303)			N		Miltenyi	BDCA-2 (CD303) PE	PE	Flow Cytometry		2799
ESR12256	ANA860	CD2	AB_10374323; AB_1500438	CD0217	Anti-CD2			N		Invitrogen	CD2 PE-TR (ECD)	PE-TR (ECD)	Flow Cytometry		2799
ESR12257	ANA814	CD11c	AB_394034	551077	Anti-CD11c			N		BD Biosciences	CD11c PC5	PC5	Flow Cytometry		2799
ESR12258	ANA895	CD1c	AB_1953227	331515	Anti-CD1c			N		BioLegend	CD1c PC7	PC7	Flow Cytometry		2799
ESR12259		BDCA-3 (CD141)	AB_244170	130-090-907	Anti-BDCA-3 (CD141)			N		Miltenyi	CD141 APC	APC	Flow Cytometry		2799
ESR12260	ANA812	HLA-DR	AB_893565	327014	Anti-HLA-DR			N		BioLegend	HLA-DR A700	A700	Flow Cytometry		2799
ESR12261		CD45	AB_10376143; AB_1475776	MHCD4530	Anti-CD45			N		Invitrogen	CD45 PacOrange	PO	Flow Cytometry		2799
ESR12262	ANA78	CXCR5	AB_397034	558112	Anti-CXCR5			N		BD Biosciences	CXCR5 A488 (FITC)	A488 (FITC)	Flow Cytometry		2799
ESR12263		CCR6 (CD196)	AB_397273	559562	Anti-CCR6 (CD196)			N		BD Biosciences	CCR6 PE	PE	Flow Cytometry		2799
ESR12264	ANA816	CD45RA	AB_10640553	IM2711U	Anti-CD45RA			N		Beckman Coulter	CD45RA ECD	ECD	Flow Cytometry		2799
ESR12265		CXCR3 (CD183)	AB_394061	551128	Anti-CXCR3 (CD183)			N		BD Biosciences	CXCR3 PC5	PC5	Flow Cytometry		2799
