EXPSAMPLE_ACCESSION	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	WORKSPACE_ID
ES794604		EXP13729		FCM	Parsed	2799
ES794607		EXP13729		FCM	Parsed	2799
ES794634		EXP13729		FCM	Parsed	2799
ES794635		EXP13729		FCM	Parsed	2799
ES794638		EXP13729		FCM	Parsed	2799
ES794649		EXP13729		FCM	Parsed	2799
ES794566		EXP13729		FCM	Parsed	2799
ES794585		EXP13729		FCM	Parsed	2799
ES794722		EXP13729		FCM	Parsed	2799
ES794727		EXP13729		FCM	Parsed	2799
ES794728		EXP13729		FCM	Parsed	2799
ES794731		EXP13729		FCM	Parsed	2799
ES794732		EXP13729		FCM	Parsed	2799
ES794733		EXP13729		FCM	Parsed	2799
ES794736		EXP13729		FCM	Parsed	2799
ES794745		EXP13729		FCM	Parsed	2799
ES794653		EXP13729		FCM	Parsed	2799
ES794658		EXP13729		FCM	Parsed	2799
ES794666		EXP13729		FCM	Parsed	2799
ES794678		EXP13729		FCM	Parsed	2799
ES794693		EXP13729		FCM	Parsed	2799
ES794694		EXP13729		FCM	Parsed	2799
ES794696		EXP13729		FCM	Parsed	2799
ES789843		EXP13730		HAI	Parsed	2799
ES789858		EXP13730		HAI	Parsed	2799
ES789863		EXP13730		HAI	Parsed	2799
ES789864		EXP13730		HAI	Parsed	2799
ES789866		EXP13730		HAI	Parsed	2799
ES789833		EXP13730		HAI	Parsed	2799
ES789932		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789936		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789951		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789958		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789964		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789967		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789969		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789882		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789884		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789888		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789892		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789895		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789897		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789906		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789926		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
ES789877		EXP13731		VIRUS NEUTRALIZATION	Parsed	2799
