REAGENT_ACCESSION	ANALYTE_PREFERRED	ANALYTE_REPORTED	ANTIBODY_REGISTRY_ID	CATALOG_NUMBER	CLONE_NAME	CONTACT	DESCRIPTION	IS_SET	LOT_NUMBER	MANUFACTURER	NAME	REPORTER_NAME	TYPE	WEBLINK	WORKSPACE_ID
ESR12510				NA				N		Lampire Biological Laboratories	turkey blood in Alsevers		Hemagglutination Inhibition		2799
ESR12511		Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)		NA				N		Unk	Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)		Hemagglutination Inhibition		2799
ESR12512		Influenza A virus A/Perth/19/2009 (H3N2)		NA				N		Unk	Influenza A virus A/Perth/19/2009 (H3N2)		Hemagglutination Inhibition		2799
ESR12513		Influenza B virus B/Brisbane/60/2008		NA				N		Unk	Influenza B virus B/Brisbane/60/2008		Hemagglutination Inhibition		2799
ESR12516				NA				N		Lampire Biological Laboratories	turkey blood in Alsevers		Virus Neutralization		2799
ESR12517		Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)		NA				N		Unk	Recombinant (6:2) influenza A virus A/Puerto Rico/8/1934: A/California/7/2009 HA, NA (H1N1)		Virus Neutralization		2799
ESR12518		Influenza A virus A/Perth/19/2009 (H3N2)		NA				N		Unk	Influenza A virus A/Perth/19/2009 (H3N2)		Virus Neutralization		2799
ESR12519		Influenza B virus B/Brisbane/60/2008		NA				N		Unk	Influenza B virus B/Brisbane/60/2008		Virus Neutralization		2799
ESR12522				BD-103-0204				N		Illumina	GX-BeadChip HT12v4		Other		2799
ESR12693	ANA813	IgD		555778	Anti-IgD			N		BD Biosciences	NCH-2010-FR-R1	FITC	Flow Cytometry		2799
ESR12694	ANA807	CD24		555428	Anti-CD24			N		BD Biosciences	NCH-2010-FR-R2	PE	Flow Cytometry		2799
ESR12695	ANA805	CD19		IM2708U	Anti-CD19			N		Beckman Coulter	NCH-2010-FR-R3	ECD	Flow Cytometry		2799
ESR12696	ANA806	CD20		555624	Anti-CD20			N		BD Biosciences	NCH-2010-FR-R4	PC5	Flow Cytometry		2799
ESR12697	ANA808	CD38		335790	Anti-CD38			N		BD Biosciences	NCH-2010-FR-R5	PC7	Flow Cytometry		2799
ESR12698	ANA891	CD138		347207	Anti-CD138			N		BD Biosciences	NCH-2010-FR-R6	APC	Flow Cytometry		2799
ESR12699	ANA804	CD14		557923	Anti-CD14			N		BD Biosciences	NCH-2010-FR-R7	A700	Flow Cytometry		2799
