BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS721190	ES794629
BS721192	ES789896
BS721192	ES789916
BS721194	ES789856
BS721195	ES789936
BS721196	ES794634
BS721200	ES790059
BS721201	ES794635
BS721206	ES789937
BS721207	ES794639
BS721217	ES789938
BS721228	ES789959
BS721238	ES794661
BS721241	ES794663
BS721241	ES794664
BS721244	ES790073
BS721250	ES789861
BS721251	ES789941
BS721252	ES794676
BS721110	ES794562
BS721114	ES794563
BS721115	ES790028
BS721116	ES790029
BS721256	ES790077
BS722876	ES794672
BS722877	ES794697
BS721122	ES794573
BS721122	ES794574
BS721262	ES789862
BS721278	ES790083
BS721281	ES790086
BS721282	ES794694
BS721282	ES794695
BS721134	ES794583
BS721135	ES789851
BS721143	ES794590
BS721143	ES794591
BS721145	ES789872
BS721149	ES794596
BS721156	ES789833
BS721157	ES789893
BS721160	ES789933
BS721163	ES790044
BS721165	ES790046
BS721167	ES794612
BS721303	ES790093
BS721311	ES794725
BS721321	ES789987
BS721326	ES790100
BS721327	ES790101
BS721328	ES794738
BS721330	ES789908
BS721168	ES789834
BS721169	ES789894
BS721169	ES789874
BS721170	ES794618
BS721184	ES789975
BS721185	ES794628
BS721187	ES790053
BS721335	ES794748
BS721191	ES789836
BS721195	ES789956
BS721196	ES794633
BS721197	ES790056
BS721203	ES789877
BS721204	ES794637
BS721212	ES794641
BS721214	ES789898
BS721225	ES789879
BS721236	ES789840
BS721237	ES789880
BS721238	ES794662
BS721247	ES789841
BS721251	ES789981
BS721109	ES789869
BS721255	ES790076
BS722875	ES794650
BS721121	ES789890
BS721261	ES794681
BS721263	ES789942
BS721263	ES789962
BS721264	ES794684
BS721274	ES789863
BS721275	ES789943
BS721275	ES789963
BS721284	ES789904
BS721288	ES794702
BS721131	ES794579
BS721131	ES794580
BS721133	ES789871
BS721136	ES789951
BS721138	ES794587
BS721140	ES790037
BS721299	ES789965
BS721153	ES790042
BS721155	ES794599
BS721307	ES794722
BS721309	ES789986
BS721310	ES794724
BS721313	ES790095
BS721317	ES789847
BS721320	ES789867
BS721324	ES790098
BS721328	ES794740
BS721172	ES789954
BS721178	ES790051
BS721181	ES789875
BS721331	ES794741
BS721335	ES794747
BS721195	ES789976
BS721202	ES789837
BS721204	ES794638
BS721206	ES789977
BS721207	ES794640
BS721214	ES789918
BS721215	ES794643
BS721221	ES790066
BS721225	ES789899
BS721226	ES794653
BS721243	ES790072
BS721248	ES789921
BS721252	ES794675
BS721107	ES794556
BS721257	ES790078
BS721259	ES789842
BS722873	ES794601
BS721119	ES794571
BS721121	ES789910
BS721123	ES789850
BS721124	ES789950
BS721264	ES794683
BS721265	ES794685
BS721272	ES789883
BS721280	ES790085
BS721287	ES789964
BS721288	ES794703
BS721289	ES794704
BS721289	ES794705
BS721294	ES794706
BS721126	ES794577
BS721131	ES794581
BS721137	ES794586
BS721139	ES790036
BS721145	ES789912
BS721147	ES789852
BS721148	ES789972
BS721150	ES794598
BS721296	ES789885
BS721299	ES789945
BS721154	ES790043
BS721158	ES794605
BS721306	ES789926
BS721308	ES789866
BS721310	ES794723
BS721311	ES794726
BS721323	ES794735
BS721323	ES794736
BS721328	ES794739
BS721181	ES789895
BS721181	ES789915
BS721188	ES790054
BS721334	ES794746
BS721336	ES790102
BS721337	ES790103
BS721340	ES790106
BS721193	ES794631
BS721193	ES794632
BS721208	ES790060
BS721217	ES789958
BS721220	ES790065
BS721225	ES789919
BS721227	ES789859
BS721228	ES789939
BS721235	ES794659
BS721240	ES789960
BS721240	ES789980
BS721245	ES790074
BS721246	ES794667
BS721249	ES794673
BS721107	ES794555
BS721112	ES789929
BS722876	ES794670
BS722878	ES794709
BS721119	ES794569
BS721120	ES789830
BS721121	ES789870
BS721124	ES789970
BS721260	ES789882
BS721269	ES790082
BS721283	ES789844
BS721292	ES790089
BS721131	ES794582
BS721136	ES789931
BS721136	ES789971
BS721152	ES790041
BS721300	ES794714
BS721155	ES794600
BS721157	ES789913
BS721159	ES789853
BS721301	ES790091
BS721304	ES794716
BS721304	ES794749
BS721319	ES794731
BS721321	ES789947
BS721321	ES789967
BS721322	ES794734
BS721325	ES790099
BS721330	ES789888
BS721173	ES794619
BS721174	ES794622
BS721176	ES790049
BS721179	ES794624
BS721180	ES789835
BS721182	ES794626
BS721184	ES789955
BS721339	ES790105
BS721341	ES790107
BS721189	ES790055
BS721198	ES790057
BS721205	ES789857
BS721209	ES790061
BS721215	ES794644
BS721218	ES794646
BS721223	ES794647
BS721223	ES794648
BS721229	ES794655
BS721230	ES794658
BS721235	ES794660
BS721240	ES789940
BS721253	ES794678
BS721107	ES794557
BS721109	ES789909
BS721258	ES794679
BS721258	ES794680
BS722873	ES794602
BS722875	ES794652
BS722878	ES794708
BS721118	ES790031
BS721119	ES794570
BS721260	ES789902
BS721260	ES789922
BS721261	ES794682
BS721265	ES794686
BS721266	ES790079
BS721267	ES790080
BS721272	ES789903
BS721279	ES790084
BS721284	ES789924
BS721284	ES789884
BS721293	ES790090
BS721125	ES794575
BS721129	ES790034
BS721130	ES790035
BS721138	ES794588
BS721146	ES794593
BS721148	ES789932
BS721148	ES789952
BS721295	ES789845
BS721297	ES794712
BS721160	ES789953
BS721161	ES794607
BS721162	ES794610
BS721166	ES790047
BS721167	ES794611
BS721302	ES790092
BS721304	ES794718
BS721307	ES794719
BS721318	ES789907
