BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS807872	ES982603
BS807875	ES982606
BS807876	ES982607
BS807881	ES982612
BS807882	ES982613
BS807886	ES982617
BS807911	ES982642
BS807920	ES982651
BS807932	ES982663
BS807957	ES982688
BS807972	ES982703
BS808001	ES982732
BS808017	ES982748
BS808045	ES982776
BS808047	ES982778
BS808072	ES982803
BS808077	ES982808
BS806243	ES981101
BS806252	ES981110
BS806270	ES981128
BS806272	ES981130
BS806274	ES981132
BS806276	ES981134
BS806283	ES981141
BS806287	ES981145
BS806305	ES981163
BS806307	ES981165
BS806310	ES981168
BS806320	ES981178
BS806322	ES981180
BS806325	ES981183
BS806327	ES981185
BS806330	ES981188
BS806335	ES981193
BS806338	ES981196
BS806349	ES981207
BS806352	ES981210
BS806369	ES981227
BS806370	ES981228
BS808219	ES983930
BS808223	ES983934
BS808229	ES983940
BS808237	ES983948
BS808262	ES983973
BS808263	ES983974
BS808273	ES983984
BS808274	ES983985
BS808281	ES983992
BS808283	ES983994
BS808311	ES984022
BS808321	ES984032
BS808324	ES984035
BS808329	ES984040
BS808331	ES984042
BS808332	ES984043
BS808338	ES984049
BS808343	ES984054
BS808347	ES984058
BS808352	ES984063
BS808368	ES984079
BS808370	ES984081
BS808373	ES984084
BS808378	ES984089
BS630857	ES571080
BS630859	ES571082
BS630893	ES571116
BS630895	ES571118
BS630907	ES571130
BS630914	ES571137
BS630918	ES571141
BS630806	ES571029
BS630808	ES571031
BS630812	ES571035
BS630814	ES571037
BS630816	ES571039
BS630821	ES571044
BS630825	ES571048
BS630828	ES571051
BS630830	ES571053
BS630831	ES571054
BS630834	ES571057
BS630835	ES571058
BS630841	ES571064
BS807878	ES983344
BS807897	ES983363
BS807901	ES983367
BS807907	ES983373
BS807935	ES983401
BS807945	ES983411
BS807951	ES983417
BS807952	ES983418
BS807955	ES983421
BS807956	ES983422
BS807965	ES983431
BS807985	ES983451
BS808009	ES983475
BS808021	ES983487
BS808026	ES983492
BS808049	ES983515
BS808050	ES983516
BS808088	ES983554
BS808089	ES983555
BS807849	ES983560
BS807857	ES983568
BS807861	ES983572
BS807862	ES983573
BS807870	ES983581
BS807872	ES983583
BS807873	ES983584
BS807879	ES983590
BS807883	ES983594
BS807884	ES983595
BS807897	ES983608
BS807903	ES983614
BS807904	ES983615
BS807905	ES983616
BS807907	ES983618
BS807908	ES983619
BS807920	ES983631
BS807921	ES983632
BS807948	ES983659
BS807962	ES983673
BS807969	ES983680
BS807979	ES983690
BS807981	ES983692
BS807734	ES982465
BS807739	ES982470
BS807742	ES982473
BS807751	ES982482
BS807753	ES982484
BS807758	ES982489
BS807763	ES982494
BS807765	ES982496
BS807768	ES982499
BS807792	ES982523
BS807796	ES982527
BS807800	ES982531
BS807809	ES982540
BS807824	ES982555
BS807826	ES982557
BS807827	ES982558
BS807828	ES982559
BS807831	ES982562
BS807845	ES982576
BS807859	ES982590
BS807862	ES983083
BS807870	ES983091
BS807872	ES983093
BS807875	ES983096
BS807882	ES983103
BS807884	ES983105
BS807890	ES983111
BS807899	ES983120
BS807909	ES983130
BS807928	ES983149
BS807930	ES983151
BS807938	ES983159
BS807940	ES983161
BS807945	ES983166
BS807957	ES983178
BS807959	ES983180
BS807970	ES983191
BS807979	ES983200
BS807980	ES983201
BS807983	ES983204
BS807877	ES982853
BS807884	ES982860
BS807910	ES982886
BS807914	ES982890
BS807919	ES982895
BS807946	ES982922
BS807952	ES982928
BS807956	ES982932
BS807959	ES982935
BS807969	ES982945
BS807970	ES982946
BS808023	ES983734
BS808037	ES983748
BS808052	ES983763
BS808058	ES983769
BS808061	ES983772
BS808063	ES983774
BS808080	ES983791
BS808081	ES983792
BS808103	ES983814
BS808105	ES983816
BS808108	ES983819
BS808122	ES983833
BS808123	ES983834
BS808129	ES983840
