BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS752351	ES1005461
BS752353	ES1004613
BS752356	ES1004152
BS752356	ES1003683
BS752358	ES1004720
BS752359	ES1005295
BS752360	ES1003847
BS752360	ES1004898
BS752361	ES1004142
BS752362	ES1005653
BS752362	ES1004390
BS752362	ES1004760
BS752363	ES1004923
BS752364	ES1004582
BS752364	ES1003877
BS752365	ES1004114
BS752367	ES1005066
BS752368	ES1005604
BS752369	ES1005008
BS752369	ES1005419
BS752370	ES1004147
BS752370	ES1004851
BS752371	ES1005561
BS752371	ES1004023
BS752372	ES1005194
BS752373	ES1004226
BS752374	ES1005550
BS752374	ES1005333
BS752375	ES1003765
BS752375	ES1003762
BS752376	ES1004703
BS752376	ES1005512
BS752376	ES1005457
BS752376	ES1003740
BS752378	ES1005139
BS752378	ES1003830
BS752379	ES1004955
BS752380	ES1004775
BS752383	ES1005272
BS752386	ES1005540
BS752386	ES1003975
BS752389	ES1004872
BS752390	ES1003776
BS752391	ES1004243
BS752392	ES1005549
BS752393	ES1004310
BS752394	ES1005354
BS752395	ES1004103
BS752396	ES1004059
BS752399	ES1004032
BS752401	ES1005681
BS752401	ES1005132
BS752402	ES1005297
BS752403	ES1004334
BS752403	ES1004282
BS752405	ES1005240
BS752405	ES1005220
BS752405	ES1005202
BS752409	ES1004971
BS752409	ES1004066
BS752410	ES1004706
BS752411	ES1004620
BS752412	ES1004746
BS752415	ES1004847
BS752416	ES1005657
BS752416	ES1003820
BS752416	ES1004853
BS752417	ES1004689
BS752418	ES1004540
BS752419	ES1005458
BS689334	ES736160
BS689351	ES736125
BS689362	ES736167
BS689410	ES736179
BS689415	ES736141
BS689438	ES736184
BS689463	ES1004021
BS689463	ES736192
BS689464	ES1004455
BS689466	ES1004341
BS689468	ES1004104
BS689468	ES1004840
BS689468	ES1005360
BS689469	ES1004443
BS689471	ES1004837
BS689473	ES1004042
BS689473	ES1004542
BS689474	ES1005018
BS689474	ES1004528
BS689475	ES1004125
BS689475	ES1004005
BS689477	ES1005073
BS689477	ES1004974
BS689478	ES1005266
BS689479	ES1004361
BS689481	ES1004328
BS689481	ES1004283
BS689481	ES1004416
BS689481	ES1004654
BS689481	ES736210
BS689483	ES1004963
BS689484	ES1004294
BS689485	ES1005171
BS689486	ES1004167
BS689486	ES1004796
BS689486	ES1004624
BS689487	ES1004412
BS689488	ES1004882
BS689489	ES736218
BS689490	ES1005695
BS689490	ES1004250
BS689490	ES1005252
BS689490	ES1005102
BS689491	ES1005074
BS689492	ES1004874
BS689493	ES1003888
BS689494	ES1005042
BS689494	ES1004927
BS689495	ES1005503
BS689495	ES736224
BS689496	ES1004014
BS689497	ES1005239
BS689498	ES1005078
BS689499	ES1005482
BS689500	ES1004595
BS689500	ES1004621
BS689501	ES1003983
BS689506	ES1005190
BS689507	ES1004274
BS689508	ES1005619
BS689508	ES1004068
BS689508	ES1003884
BS689509	ES1004221
BS689509	ES1004383
BS689510	ES1004238
BS689510	ES1005005
BS689510	ES1004601
BS689510	ES1004845
BS689512	ES1005675
BS689514	ES1005277
BS689515	ES1005611
BS689516	ES1004515
BS689516	ES1004758
BS689516	ES1005450
BS689517	ES736246
BS689517	ES1004086
BS689517	ES1005472
BS689517	ES1005387
BS689518	ES1004036
BS689518	ES1004685
BS689519	ES1003805
BS689519	ES1004841
BS689519	ES1005340
BS689520	ES1005093
BS689521	ES1004304
BS689521	ES1005368
BS689521	ES1005355
BS689522	ES1005439
BS689524	ES1004977
BS689524	ES1004609
BS689525	ES1005143
BS689525	ES1003816
BS689525	ES1004782
BS689527	ES1005199
BS689527	ES1005198
BS689527	ES1003850
BS689530	ES1005325
BS689530	ES736259
BS689531	ES1005407
BS689532	ES736261
BS689532	ES1004772
BS689532	ES1003658
BS689533	ES1003895
BS689535	ES1005694
BS689535	ES1005235
BS689535	ES1005447
BS689536	ES1005034
BS689536	ES1004442
BS689536	ES1003896
BS689536	ES1004647
BS689536	ES1003670
BS689537	ES1003812
BS689539	ES1004038
BS689540	ES1005545
BS689540	ES1004346
BS689541	ES1003668
BS689542	ES1005369
BS689543	ES1004962
BS689543	ES1003700
BS689545	ES736274
BS689545	ES1004591
BS689546	ES1005117
BS689547	ES1004600
BS689547	ES1003866
BS689547	ES1005394
BS689548	ES1004301
BS689548	ES1005335
BS689548	ES1005147
BS689548	ES1005477
BS689548	ES1005433
BS689549	ES1004821
BS689550	ES1004491
BS689551	ES736280
BS689552	ES1004249
BS689552	ES1005378
BS689553	ES1005064
BS689553	ES1004141
BS689553	ES1004829
BS689556	ES1005585
BS689557	ES1004210
BS689557	ES1003911
BS689558	ES1004254
BS689558	ES1004904
BS689559	ES1004596
BS689560	ES1004027
BS689561	ES736290
BS689561	ES1004642
BS689563	ES736292
BS689563	ES1004404
BS689564	ES1005649
BS689565	ES1005290
BS689565	ES736294
BS689566	ES1004290
BS689566	ES1005146
BS689568	ES1005094
BS689568	ES1004017
BS689569	ES736298
BS689569	ES1004594
BS689570	ES736299
BS689570	ES1004868
BS689571	ES1005289
BS689572	ES1003909
BS689572	ES1004888
BS689573	ES1005062
BS689573	ES1004129
BS689573	ES1003702
BS689575	ES1004899
BS689576	ES1005103
BS689576	ES1004153
BS689576	ES1003849
BS689577	ES1005273
BS689577	ES1003861
BS689579	ES736308
BS689579	ES1004063
BS689579	ES1004550
BS689580	ES1003833
BS689582	ES1004997
BS689583	ES1004098
BS689584	ES1005350
BS689585	ES1005684
BS689585	ES1005658
BS689585	ES1005314
BS689585	ES1005524
