BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS720495	ES787552
BS720497	ES787656
BS720498	ES787606
BS720502	ES787610
BS720506	ES787767
BS720507	ES787717
BS720508	ES787769
BS720511	ES787772
BS720518	ES787677
BS720519	ES787678
BS720522	ES787732
BS720524	ES787683
BS720525	ES787786
BS720526	ES787736
BS720528	ES787789
BS720528	ES787687
BS720531	ES787792
BS720532	ES787691
BS720386	ES787820
BS720388	ES787822
BS720391	ES787825
BS720418	ES787852
BS720422	ES787856
BS720423	ES787857
BS720431	ES787865
BS720434	ES787868
BS720438	ES787872
BS720447	ES787881
BS720458	ES787566
BS720464	ES787572
BS720464	ES787623
BS720465	ES787573
BS720467	ES787575
BS720474	ES787582
BS720483	ES787591
BS720485	ES787542
BS720487	ES787595
BS720488	ES787596
BS720489	ES787546
BS720490	ES787649
BS720491	ES787548
BS720316	ES789272
BS720317	ES789350
BS720320	ES789299
BS720322	ES789337
BS720323	ES789523
BS720324	ES789349
BS720328	ES789385
BS720328	ES789387
BS720329	ES789516
BS720335	ES789528
BS720336	ES789545
BS720340	ES789251
BS720341	ES789426
BS720342	ES789245
BS720343	ES789409
BS720345	ES789357
BS720345	ES789359
BS720535	ES787694
BS720537	ES787696
BS720538	ES787697
BS720541	ES787700
BS720543	ES787702
BS720548	ES787809
BS720550	ES787760
BS720555	ES787765
BS720349	ES789533
BS720351	ES789406
BS720352	ES789485
BS720354	ES789555
BS720362	ES789468
BS720363	ES789394
BS720365	ES789600
BS720365	ES789603
BS720366	ES789549
BS720369	ES789255
BS720370	ES789469
BS720373	ES789595
BS720375	ES789488
BS720380	ES789269
BS720381	ES789342
BS720382	ES789278
BS720383	ES789428
BS720383	ES789432
BS720495	ES787603
BS720500	ES787659
BS720501	ES787660
BS720504	ES787663
BS720509	ES787770
BS720512	ES787671
BS720514	ES787724
BS720515	ES787674
BS720517	ES787727
BS720521	ES787782
BS720521	ES787680
BS720522	ES787783
BS720523	ES787682
BS720525	ES787735
BS720528	ES787738
BS720531	ES787690
BS720387	ES787821
BS720398	ES787832
BS720400	ES787834
BS720406	ES787840
BS720409	ES787843
BS720417	ES787851
BS720420	ES787854
BS720427	ES787861
BS720440	ES787874
BS720444	ES787878
BS720445	ES787879
BS720451	ES787885
BS720456	ES787564
BS720462	ES787621
BS720462	ES787519
BS720466	ES787625
BS720466	ES787523
BS720468	ES787627
BS720475	ES787583
BS720476	ES787584
BS720478	ES787637
BS720482	ES787539
BS720488	ES787647
BS720488	ES787545
BS720490	ES787598
BS720312	ES789445
BS720312	ES789446
BS720313	ES789605
BS720314	ES789379
BS720315	ES789565
BS720315	ES789567
BS720317	ES789346
BS720320	ES789297
BS720320	ES789303
BS720322	ES789340
BS720323	ES789521
BS720327	ES789456
BS720334	ES789524
BS720335	ES789531
BS720336	ES789544
BS720337	ES789576
BS720338	ES789239
BS720338	ES789242
BS720339	ES789319
BS720340	ES789250
BS720343	ES789405
BS720533	ES787794
BS720536	ES787797
BS720536	ES787746
BS720537	ES787747
BS720538	ES787748
BS720540	ES787750
BS720545	ES787755
BS720551	ES787761
BS720553	ES787763
BS720554	ES787764
BS720554	ES787815
BS720348	ES789568
BS720348	ES789570
BS720352	ES789484
BS720352	ES789487
BS720353	ES789420
BS720359	ES789234
BS720360	ES789304
BS720368	ES789305
BS720368	ES789308
BS720372	ES789588
BS720372	ES789590
BS720376	ES789457
BS720378	ES789388
BS720380	ES789265
BS720381	ES789339
BS720382	ES789276
BS720382	ES789277
BS720497	ES787605
BS720497	ES787554
BS720498	ES787657
BS720500	ES787557
BS720504	ES787561
BS720506	ES787665
BS720507	ES787768
BS720511	ES787670
BS720511	ES787721
BS720514	ES787673
BS720518	ES787779
BS720520	ES787781
BS720526	ES787685
BS720529	ES787790
BS720389	ES787823
BS720399	ES787833
BS720405	ES787839
BS720407	ES787841
BS720411	ES787845
BS720414	ES787848
BS720429	ES787863
BS720432	ES787866
BS720433	ES787867
BS720437	ES787871
BS720452	ES787886
BS720455	ES787614
BS720456	ES787513
BS720457	ES787514
BS720459	ES787516
BS720463	ES787571
BS720466	ES787574
BS720468	ES787576
BS720468	ES787525
BS720471	ES787630
BS720472	ES787580
BS720477	ES787585
BS720478	ES787586
BS720478	ES787535
BS720479	ES787638
BS720481	ES787589
BS720483	ES787540
BS720484	ES787541
BS720490	ES787547
BS720491	ES787650
BS720319	ES789442
BS720320	ES789301
BS720321	ES789449
BS720321	ES789452
BS720325	ES789596
BS720325	ES789597
BS720335	ES789529
BS720343	ES789411
BS720344	ES789582
BS720542	ES787803
BS720546	ES787807
BS720546	ES787705
BS720547	ES787808
BS720549	ES787759
BS720550	ES787811
BS720553	ES787712
BS720348	ES789564
BS720350	ES789559
BS720351	ES789410
BS720353	ES789416
BS720359	ES789228
BS720362	ES789472
BS720362	ES789480
BS720363	ES789395
BS720365	ES789601
BS720366	ES789548
BS720367	ES789236
BS720370	ES789481
BS720371	ES789586
BS720372	ES789589
BS720372	ES789591
BS720373	ES789594
BS720374	ES789296
BS720376	ES789451
BS720377	ES789412
BS720379	ES789539
BS720383	ES789430
BS720495	ES787654
BS720496	ES787655
BS720501	ES787558
BS720502	ES787661
BS720508	ES787667
BS720513	ES787723
BS720517	ES787676
BS720519	ES787780
BS720519	ES787729
BS720523	ES787733
BS720525	ES787684
BS720529	ES787739
BS720530	ES787689
BS720384	ES787818
BS720393	ES787827
BS720395	ES787829
BS720397	ES787831
BS720403	ES787837
BS720446	ES787880
BS720450	ES787884
BS720458	ES787617
BS720459	ES787567
BS720459	ES787618
BS720461	ES787518
BS720467	ES787524
BS720470	ES787629
BS720481	ES787640
BS720482	ES787590
BS720483	ES787642
BS720484	ES787592
BS720485	ES787644
BS720486	ES787645
BS720489	ES787648
BS720491	ES787599
BS720492	ES787549
BS720493	ES787601
BS720494	ES787602
BS720314	ES789377
BS720316	ES789273
BS720316	ES789274
BS720318	ES789280
BS720318	ES789283
BS720319	ES789443
