FCS_ANALYZED_RESULT_MARKER_ID	POPULATION_MARKER_PREFERRED	POPULATION_MARKER_REPORTED	PREFERRED_ANALYTE_ACCESSION	RESULT_ID
1133266	CXCR3+	CXCR3+	ANA76	556006
1133267	CCR6-	CCR6-	ANA36	556006
1133284	CD3+	CD3+	ANA809	556009
1133307	CD3+	CD3+	ANA809	556012
1133319	CD45RA-	CD45RA-	ANA816	556013
1133338	CD3+	CD3+	ANA809	556016
1133341	CXCR5-	CXCR5-	ANA78	556016
1133354	CD278+	ICOS+	ANA898	556018
1133360	CXCR3+	CXCR3+	ANA76	556019
1133361	CCR6-	CCR6-	ANA36	556019
1133363	CD4+	CD4+	ANA41	556020
1133365	CXCR5-	CXCR5-	ANA78	556020
1133376	CCR6-	CCR6-	ANA36	556021
1133392	HLADR+	HLA-DR+	ANA812	556023
1133400	CD278+	ICOS+	ANA898	556024
1133405	CD45RA-	CD45RA-	ANA816	556025
1133415	HLADR+	HLA-DR+	ANA812	556026
1133418	CD8-	CD8-	ANA810	556027
1133422	CCR6+	CCR6+	ANA36	556027
1133443	CD45RA-	CD45RA-	ANA816	556030
