EXPSAMPLE_ACCESSION	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	WORKSPACE_ID
ES789272		EXP13709		FCM	Parsed	2799
ES789275		EXP13709		FCM	Parsed	2799
ES789278		EXP13709		OTHER	Not_Parsed	2799
ES789564		EXP13709		FCM	Parsed	2799
ES789569		EXP13709		FCM	Parsed	2799
ES789263		EXP13709		OTHER	Not_Parsed	2799
ES789264		EXP13709		FCM	Parsed	2799
ES789268		EXP13709		OTHER	Not_Parsed	2799
ES789476		EXP13709		FCM	Parsed	2799
ES789477		EXP13709		FCM	Parsed	2799
ES789340		EXP13709		FCM	Parsed	2799
ES789587		EXP13709		FCM	Parsed	2799
ES789602		EXP13709		FCM	Parsed	2799
ES789555		EXP13709		FCM	Parsed	2799
ES789239		EXP13709		FCM	Parsed	2799
ES789240		EXP13709		FCM	Parsed	2799
ES789390		EXP13709		FCM	Parsed	2799
ES789392		EXP13709		FCM	Parsed	2799
ES789424		EXP13709		FCM	Parsed	2799
ES789405		EXP13709		FCM	Parsed	2799
ES789411		EXP13709		FCM	Parsed	2799
ES789337		EXP13709		FCM	Parsed	2799
ES789308		EXP13709		FCM	Parsed	2799
ES789312		EXP13709		FCM	Parsed	2799
ES789449		EXP13709		FCM	Parsed	2799
ES789451		EXP13709		FCM	Parsed	2799
ES789524		EXP13709		FCM	Parsed	2799
ES789527		EXP13709		FCM	Parsed	2799
ES789537		EXP13709		FCM	Parsed	2799
ES789592		EXP13709		FCM	Parsed	2799
ES789228		EXP13709		FCM	Parsed	2799
ES789229		EXP13709		FCM	Parsed	2799
ES789236		EXP13709		OTHER	Not_Parsed	2799
ES789434		EXP13709		FCM	Parsed	2799
ES787881		EXP13710		OTHER	Not_Parsed	2799
ES787887		EXP13710		OTHER	Not_Parsed	2799
ES787859		EXP13710		OTHER	Not_Parsed	2799
ES787861		EXP13710		OTHER	Not_Parsed	2799
ES787864		EXP13710		OTHER	Not_Parsed	2799
ES787879		EXP13710		OTHER	Not_Parsed	2799
ES787819		EXP13710		OTHER	Not_Parsed	2799
ES787829		EXP13710		OTHER	Not_Parsed	2799
ES787831		EXP13710		OTHER	Not_Parsed	2799
ES787617		EXP13711		HAI	Parsed	2799
ES787631		EXP13711		HAI	Parsed	2799
ES787642		EXP13711		HAI	Parsed	2799
ES787659		EXP13711		HAI	Parsed	2799
ES787568		EXP13711		HAI	Parsed	2799
ES787570		EXP13711		HAI	Parsed	2799
ES787576		EXP13711		HAI	Parsed	2799
ES787588		EXP13711		HAI	Parsed	2799
ES787593		EXP13711		HAI	Parsed	2799
ES787594		EXP13711		HAI	Parsed	2799
ES787603		EXP13711		HAI	Parsed	2799
ES787611		EXP13711		HAI	Parsed	2799
ES787522		EXP13711		HAI	Parsed	2799
ES787524		EXP13711		HAI	Parsed	2799
ES787529		EXP13711		HAI	Parsed	2799
ES787532		EXP13711		HAI	Parsed	2799
ES787533		EXP13711		HAI	Parsed	2799
ES787547		EXP13711		HAI	Parsed	2799
ES787663		EXP13711		HAI	Parsed	2799
ES787812		EXP13712		VIRUS NEUTRALIZATION	Parsed	2799
ES787814		EXP13712		VIRUS NEUTRALIZATION	Parsed	2799
ES787756		EXP13712		VIRUS NEUTRALIZATION	Parsed	2799
ES787758		EXP13712		VIRUS NEUTRALIZATION	Parsed	2799
ES787771		EXP13712		VIRUS NEUTRALIZATION	Parsed	2799
