EXPSAMPLE_ACCESSION	DESCRIPTION	EXPERIMENT_ACCESSION	NAME	RESULT_SCHEMA	UPLOAD_RESULT_STATUS	WORKSPACE_ID
ES718716		EXP13705		ELISA	Parsed	2883
ES718729		EXP13705		ELISA	Parsed	2883
ES718734		EXP13705		ELISA	Parsed	2883
ES790509		EXP13734		ELISPOT	Parsed	2883
ES790518		EXP13734		ELISPOT	Parsed	2883
ES790520		EXP13734		ELISPOT	Parsed	2883
ES790534		EXP13734		ELISPOT	Parsed	2883
ES790537		EXP13734		ELISPOT	Parsed	2883
ES790494		EXP13734		ELISPOT	Parsed	2883
ES790495		EXP13734		ELISPOT	Parsed	2883
ES799352		EXP13759		HAI	Parsed	2883
ES799354		EXP13759		HAI	Parsed	2883
ES799355		EXP13759		HAI	Parsed	2883
ES799364		EXP13759		HAI	Parsed	2883
ES799365		EXP13759		HAI	Parsed	2883
ES799367		EXP13759		HAI	Parsed	2883
ES799370		EXP13759		HAI	Parsed	2883
ES799374		EXP13759		HAI	Parsed	2883
ES799378		EXP13759		HAI	Parsed	2883
ES799381		EXP13759		HAI	Parsed	2883
ES799392		EXP13759		HAI	Parsed	2883
ES799398		EXP13759		HAI	Parsed	2883
ES799401		EXP13759		HAI	Parsed	2883
ES799316		EXP13759		HAI	Parsed	2883
ES799319		EXP13759		HAI	Parsed	2883
ES799323		EXP13759		HAI	Parsed	2883
ES799326		EXP13759		HAI	Parsed	2883
ES799330		EXP13759		HAI	Parsed	2883
ES799332		EXP13759		HAI	Parsed	2883
ES799337		EXP13759		HAI	Parsed	2883
ES799339		EXP13759		HAI	Parsed	2883
ES799349		EXP13759		HAI	Parsed	2883
ES805363		EXP13808		MBAA	Parsed	2883
ES805365		EXP13808		MBAA	Parsed	2883
ES805376		EXP13808		MBAA	Parsed	2883
ES805383		EXP13808		MBAA	Parsed	2883
ES805385		EXP13808		MBAA	Parsed	2883
ES805350		EXP13808		MBAA	Parsed	2883
ES805343		EXP13808		MBAA	Parsed	2883
ES805170		EXP13808		MBAA	Parsed	2883
ES805176		EXP13808		MBAA	Parsed	2883
ES805333		EXP13808		MBAA	Parsed	2883
ES805185		EXP13808		MBAA	Parsed	2883
ES805189		EXP13808		MBAA	Parsed	2883
ES805194		EXP13808		MBAA	Parsed	2883
ES805212		EXP13808		MBAA	Parsed	2883
ES805225		EXP13808		MBAA	Parsed	2883
ES805226		EXP13808		MBAA	Parsed	2883
ES805231		EXP13808		MBAA	Parsed	2883
ES805233		EXP13808		MBAA	Parsed	2883
ES805234		EXP13808		MBAA	Parsed	2883
ES805239		EXP13808		MBAA	Parsed	2883
ES805245		EXP13808		MBAA	Parsed	2883
ES805248		EXP13808		MBAA	Parsed	2883
ES805254		EXP13808		MBAA	Parsed	2883
ES805267		EXP13808		MBAA	Parsed	2883
ES805270		EXP13808		MBAA	Parsed	2883
ES805293		EXP13808		MBAA	Parsed	2883
ES805090		EXP13808		MBAA	Parsed	2883
ES805094		EXP13808		MBAA	Parsed	2883
ES805103		EXP13808		MBAA	Parsed	2883
ES805107		EXP13808		MBAA	Parsed	2883
ES805117		EXP13808		MBAA	Parsed	2883
ES805125		EXP13808		MBAA	Parsed	2883
ES805132		EXP13808		MBAA	Parsed	2883
ES805140		EXP13808		MBAA	Parsed	2883
ES805144		EXP13808		MBAA	Parsed	2883
ES805146		EXP13808		MBAA	Parsed	2883
ES805148		EXP13808		MBAA	Parsed	2883
ES805158		EXP13808		MBAA	Parsed	2883
ES805165		EXP13808		MBAA	Parsed	2883
ES805303		EXP13808		MBAA	Parsed	2883
ES805313		EXP13808		MBAA	Parsed	2883
ES805572		EXP13808		MBAA	Parsed	2883
ES805576		EXP13808		MBAA	Parsed	2883
ES805577		EXP13808		MBAA	Parsed	2883
ES805578		EXP13808		MBAA	Parsed	2883
ES805583		EXP13808		MBAA	Parsed	2883
ES805590		EXP13808		MBAA	Parsed	2883
ES805525		EXP13808		MBAA	Parsed	2883
