BIOSAMPLE_ACCESSION	EXPSAMPLE_ACCESSION
BS741160	ES805539
BS741160	ES805540
BS741161	ES805538
BS741162	ES805542
BS741163	ES805543
BS741163	ES805547
BS741165	ES805550
BS741166	ES805555
BS741166	ES805556
BS741196	ES805183
BS741202	ES805219
BS741203	ES805225
BS741203	ES805226
BS741205	ES805238
BS741172	ES805567
BS741172	ES805572
BS741206	ES805244
BS741207	ES805249
BS741208	ES805255
BS741209	ES805262
BS741212	ES805280
BS741213	ES805286
BS741125	ES805444
BS741131	ES805457
BS741133	ES805464
BS741136	ES805471
BS741137	ES805474
BS741142	ES805488
BS741215	ES805297
BS741215	ES805298
BS741218	ES805315
BS741220	ES805327
BS741147	ES805502
BS741148	ES805504
BS741190	ES805143
BS741151	ES805511
BS741151	ES805512
BS741153	ES805518
BS741154	ES805524
BS741157	ES805531
BS741178	ES805583
BS741180	ES805590
BS741184	ES805109
BS721553	ES790514
BS721560	ES790521
BS721564	ES790525
BS721574	ES790535
BS721528	ES790489
BS721531	ES790492
BS721536	ES790497
BS721539	ES790500
BS721544	ES790505
BS741228	ES805376
BS741229	ES805381
BS736753	ES805090
BS736754	ES805095
BS736755	ES805097
BS736757	ES805103
BS736759	ES805107
BS736759	ES799308
BS736764	ES805122
BS736765	ES805124
BS736773	ES805148
BS736774	ES805151
BS736775	ES805153
BS736775	ES799324
BS736777	ES799326
BS736778	ES805161
BS736779	ES805164
BS736779	ES799328
BS736798	ES799347
BS736803	ES805235
BS736804	ES805239
BS736810	ES799359
BS736814	ES805270
BS736818	ES805282
BS736822	ES805293
BS736827	ES805308
BS736831	ES799380
BS736831	ES805320
BS736835	ES799384
BS736840	ES805348
BS736843	ES805356
BS736844	ES799393
BS736847	ES805368
BS736848	ES805372
BS736851	ES805379
BS736854	ES799403
BS736861	ES799410
BS736864	ES799413
BS736867	ES805427
BS750339	ES832437
BS750340	ES832445
BS750340	ES832447
BS750340	ES832452
BS750341	ES832454
BS750341	ES832458
BS750342	ES832462
BS750345	ES832487
BS750345	ES832492
BS750347	ES832501
BS750347	ES832503
BS750348	ES832515
BS750349	ES832518
BS750350	ES832528
BS750351	ES832533
BS750353	ES832550
BS750353	ES832553
BS750355	ES832567
BS750355	ES832569
BS750356	ES832580
BS750358	ES832596
BS750359	ES832597
BS750359	ES832602
BS750360	ES832607
BS750360	ES832608
BS750360	ES832609
BS750361	ES832619
BS750362	ES832628
BS750363	ES832632
BS750363	ES832633
BS750364	ES832639
BS750364	ES832641
BS750365	ES832647
BS750365	ES832652
BS750366	ES832656
BS750367	ES832668
BS750370	ES832686
BS750371	ES832697
BS750373	ES832710
BS750373	ES832716
BS750375	ES832725
BS750375	ES832728
BS750375	ES832730
BS750376	ES832734
BS750376	ES832735
BS750376	ES832738
BS750379	ES832759
BS750378	ES832750
BS750380	ES832766
BS750380	ES832770
BS750381	ES832778
BS750381	ES832779
BS750383	ES832790
BS750384	ES832797
BS750384	ES832800
BS750384	ES832802
BS750385	ES832805
BS750386	ES832818
BS750387	ES832827
BS750389	ES832844
BS750390	ES832845
BS750390	ES832847
BS750391	ES832855
BS750391	ES832857
BS750393	ES832869
BS750395	ES832887
BS750396	ES832895
BS750396	ES832897
BS750396	ES832900
BS750397	ES832904
BS750398	ES832913
BS750399	ES832918
BS750399	ES832919
BS750399	ES832920
BS750399	ES832922
BS750399	ES832924
BS750400	ES832929
BS750402	ES832941
BS750402	ES832948
BS750403	ES832952
BS750403	ES832955
BS750404	ES832958
BS750405	ES832972
BS750407	ES833034
BS750408	ES833040
BS750408	ES833042
BS750409	ES833045
BS750409	ES833051
BS750410	ES833053
BS750410	ES833054
BS750410	ES833056
BS750411	ES833062
BS750413	ES833084
BS750414	ES833091
BS750414	ES833092
BS750415	ES833097
BS750415	ES833098
BS750416	ES832985
BS750416	ES832995
BS750416	ES833001
BS750416	ES833010
BS750416	ES833012
BS750416	ES833016
BS750416	ES833017
BS750330	ES824181
BS750331	ES824192
BS750332	ES824193
BS750333	ES824200
BS750333	ES824202
BS750333	ES824206
BS750335	ES824219
BS750337	ES824229
BS750338	ES824248
BS750298	ES823958
BS750299	ES823963
BS750302	ES823986
BS750303	ES823995
BS750304	ES823998
BS750304	ES824003
BS750307	ES824018
BS750307	ES824023
BS750309	ES824034
BS750311	ES824048
BS750311	ES824050
BS750311	ES824052
BS750313	ES824064
BS750318	ES824100
BS750319	ES824108
BS750320	ES824115
BS750336	ES824221
BS750323	ES824134
BS750325	ES824145
BS750325	ES824148
BS750325	ES824149
BS750326	ES824153
BS750326	ES824155
BS750326	ES824156
BS750327	ES824160
BS750261	ES823699
BS750263	ES823714
BS750264	ES823720
BS750266	ES823731
BS750269	ES823753
BS750271	ES823772
BS750273	ES823785
BS750274	ES823789
BS750274	ES823790
BS750275	ES823795
BS750275	ES823799
BS750277	ES823814
BS750280	ES823833
BS750281	ES823838
BS750281	ES823839
BS750282	ES823843
BS750282	ES823846
BS750283	ES823856
BS750283	ES823851
BS750284	ES823859
BS750284	ES823861
BS750284	ES823863
BS750286	ES823872
BS750286	ES823873
BS750288	ES823885
BS750289	ES823896
BS750290	ES823902
BS750291	ES823906
BS750292	ES823914
BS750292	ES823916
BS750292	ES823917
BS750293	ES823921
BS750293	ES823922
BS680733	ES718747
BS680686	ES718700
BS680692	ES718706
BS680693	ES718707
BS680700	ES718714
BS680710	ES718724
BS680724	ES718738
BS680726	ES718740
BS741160	ES805535
BS741160	ES805536
BS741192	ES805160
BS741195	ES805177
BS741198	ES805196
BS741201	ES805214
BS741172	ES805571
BS741173	ES805570
BS741175	ES805575
BS741175	ES805580
BS741211	ES805273
BS741211	ES805274
BS741121	ES805437
BS741122	ES805436
BS741124	ES805446
BS741126	ES805447
BS741128	ES805452
BS741129	ES805453
BS741130	ES805456
BS741135	ES805470
BS741137	ES805473
BS741140	ES805481
BS741141	ES805485
BS741142	ES805492
BS741227	ES805370
BS741149	ES805506
BS741152	ES805514
BS741154	ES805519
BS741156	ES805525
BS741185	ES805115
BS741185	ES805116
BS721550	ES790511
BS721555	ES790516
BS721557	ES790518
BS721566	ES790527
BS721567	ES790528
BS721577	ES790538
BS721520	ES790481
BS741231	ES805394
BS741233	ES805405
BS736762	ES805117
BS736764	ES805123
BS736765	ES805125
BS736766	ES799315
BS736767	ES799316
BS736769	ES805136
BS736769	ES799318
BS736771	ES805142
BS736775	ES805154
BS736780	ES799329
BS736785	ES805181
BS736788	ES805192
BS736791	ES805199
BS736791	ES799340
BS736792	ES805204
BS736793	ES805206
BS736794	ES805209
BS736794	ES805210
BS736805	ES805242
BS736808	ES805252
BS736811	ES799360
BS736812	ES799361
BS736813	ES799362
BS736815	ES805272
BS736817	ES805277
BS736819	ES805283
BS736824	ES805299
BS736828	ES799377
BS736834	ES805330
BS736836	ES799385
BS736839	ES805343
BS736840	ES799389
BS736841	ES805350
BS736843	ES805355
BS736844	ES805359
BS736844	ES805360
BS736850	ES805378
BS736852	ES805383
BS736857	ES805400
BS736859	ES799408
BS736860	ES805407
BS736865	ES805421
BS750342	ES832463
BS750342	ES832467
BS750344	ES832481
BS750344	ES832483
BS750345	ES832486
BS750345	ES832491
BS750346	ES832497
BS750350	ES832527
BS750351	ES832537
BS750351	ES832534
BS750352	ES832547
BS750352	ES832548
BS750353	ES832549
BS750353	ES832556
BS750356	ES832578
BS750358	ES832592
BS750358	ES832594
BS750360	ES832606
BS750360	ES832611
BS750362	ES832626
BS750363	ES832631
BS750363	ES832634
BS750367	ES832667
BS750368	ES832669
BS750368	ES832674
BS750369	ES832680
BS750369	ES832682
BS750372	ES832706
BS750373	ES832713
